"","ensembl_gene_id","entrezgene_id"
"71","ENSMUSG00000000384",21379
"72","ENSMUSG00000000385",50528
"73","ENSMUSG00000000386",17857
"74","ENSMUSG00000000392",14089
"75","ENSMUSG00000000394",14526
"76","ENSMUSG00000000399",66108
"77","ENSMUSG00000000402",54156
"78","ENSMUSG00000000409",16818
"79","ENSMUSG00000000411",58864
"80","ENSMUSG00000000416",30785
"81","ENSMUSG00000000420",14423
"82","ENSMUSG00000000435",17877
"83","ENSMUSG00000000439",67027
"84","ENSMUSG00000000440",19016
"85","ENSMUSG00000000441",110157
"86","ENSMUSG00000000486",54204
"87","ENSMUSG00000000486",100043580
"88","ENSMUSG00000000489",18591
"89","ENSMUSG00000000530",11482
"90","ENSMUSG00000000531",56149
"91","ENSMUSG00000000532",11479
"92","ENSMUSG00000000538",216810
"93","ENSMUSG00000000544",59290
"94","ENSMUSG00000000552",29813
"95","ENSMUSG00000000555",16402
"96","ENSMUSG00000000560",14395
"97","ENSMUSG00000000561",70465
"98","ENSMUSG00000000562",11542
"99","ENSMUSG00000000562",69296
"100","ENSMUSG00000000563",11950
"101","ENSMUSG00000000567",20682
"102","ENSMUSG00000000568",11991
"103","ENSMUSG00000000579",100040563
"104","ENSMUSG00000000581",57316
"105","ENSMUSG00000000594",14667
"106","ENSMUSG00000000600",79264
"107","ENSMUSG00000000605",12727
"108","ENSMUSG00000000606",669149
"109","ENSMUSG00000000617",108072
"110","ENSMUSG00000000627",20355
"111","ENSMUSG00000000628",15277
"112","ENSMUSG00000000631",360013
"113","ENSMUSG00000000632",20370
"114","ENSMUSG00000000673",107766
"115","ENSMUSG00000000682",23833
"116","ENSMUSG00000000686",67477
"117","ENSMUSG00000000690",15414
"118","ENSMUSG00000000693",16950
"119","ENSMUSG00000000701",27382
"120","ENSMUSG00000000706",12231
"121","ENSMUSG00000000708",18519
"122","ENSMUSG00000000711",19344
"123","ENSMUSG00000000724",12957
"124","ENSMUSG00000000730",54427
"125","ENSMUSG00000000731",11634
"126","ENSMUSG00000000732",50723
"127","ENSMUSG00000000738",234847
"128","ENSMUSG00000000739",57429
"129","ENSMUSG00000000740",270106
"130","ENSMUSG00000000743",234852
"131","ENSMUSG00000000751",68275
"132","ENSMUSG00000000753",20317
"133","ENSMUSG00000000759",259279
"134","ENSMUSG00000000766",18390
"135","ENSMUSG00000000776",67065
"136","ENSMUSG00000000782",21414
"137","ENSMUSG00000000787",13205
"138","ENSMUSG00000000791",16161
"139","ENSMUSG00000000792",114479
"140","ENSMUSG00000000794",140493
"141","ENSMUSG00000000804",237898
"142","ENSMUSG00000000805",12351
"143","ENSMUSG00000000811",232223
"144","ENSMUSG00000000817",14103
"145","ENSMUSG00000000823",269401
"146","ENSMUSG00000000826",13002
"147","ENSMUSG00000000827",66314
"148","ENSMUSG00000000838",14265
"149","ENSMUSG00000000861",14025
"150","ENSMUSG00000000869",16189
"151","ENSMUSG00000000876",59038
"152","ENSMUSG00000000881",53310
"153","ENSMUSG00000000884",13972
"154","ENSMUSG00000000889",13166
"155","ENSMUSG00000000901",17385
"156","ENSMUSG00000000902",20587
"157","ENSMUSG00000000903",22364
"158","ENSMUSG00000000915",29816
"159","ENSMUSG00000000916",100609
"160","ENSMUSG00000000934",72960
"161","ENSMUSG00000000938",15395
"162","ENSMUSG00000000942",15401
"163","ENSMUSG00000000948",NA
"164","ENSMUSG00000000957",17387
"165","ENSMUSG00000000958",20540
"166","ENSMUSG00000000959",69089
"167","ENSMUSG00000000976",217026
"168","ENSMUSG00000000982",20302
"169","ENSMUSG00000000983",14038
"170","ENSMUSG00000001014",78369
"171","ENSMUSG00000001016",67781
"172","ENSMUSG00000001017",66511
"173","ENSMUSG00000001018",20615
"174","ENSMUSG00000001020",20198
"175","ENSMUSG00000001021",20197
"176","ENSMUSG00000001023",20199
"177","ENSMUSG00000001025",20200
"178","ENSMUSG00000001027",110880
"179","ENSMUSG00000001029",15896
"180","ENSMUSG00000001034",23939
"181","ENSMUSG00000001036",13855
"182","ENSMUSG00000001039",27078
"183","ENSMUSG00000001052",99683
"184","ENSMUSG00000001053",212706
"185","ENSMUSG00000001054",66089
"186","ENSMUSG00000001056",52530
"187","ENSMUSG00000001062",72325
"188","ENSMUSG00000001065",57247
"189","ENSMUSG00000001076",239659
"190","ENSMUSG00000001082",68294
"191","ENSMUSG00000001089",269593
"192","ENSMUSG00000001095",20500
"193","ENSMUSG00000001098",330171
"194","ENSMUSG00000001100",67811
"195","ENSMUSG00000001103",18292
"196","ENSMUSG00000001105",55978
"197","ENSMUSG00000001119",12833
"198","ENSMUSG00000001120",59093
"199","ENSMUSG00000001123",16859
"200","ENSMUSG00000001127",11836
"201","ENSMUSG00000001128",18636
"202","ENSMUSG00000001131",21857
"203","ENSMUSG00000001134",22294
"204","ENSMUSG00000001138",94218
"205","ENSMUSG00000001143",214895
"206","ENSMUSG00000001150",54387
"207","ENSMUSG00000001151",18541
"208","ENSMUSG00000001155",14317
"209","ENSMUSG00000001156",17119
