"","term_name","X.x","query.x","significant.x","p_value.x","term_size.x","query_size.x","intersection_size.x","precision.x","recall.x","term_id.x","source.x","effective_domain_size.x","source_order.x","parents.x","evidence_codes.x","intersection.x","direction.x","X.y","query.y","significant.y","p_value.y","term_size.y","query_size.y","intersection_size.y","precision.y","recall.y","term_id.y","source.y","effective_domain_size.y","source_order.y","parents.y","evidence_codes.y","intersection.y","direction.y"
"11","fatty acid metabolic process",29,"query_1",TRUE,0.000277814637907731,452,102,12,0.117647058823529,0.0265486725663717,"GO:0006631","GO:BP",27543,2603,"c(""GO:0032787"", ""GO:0044255"")","IBA,ISO IBA,IMP,ISO IBA TAS IEA,ISO IBA IEA,IBA,IEA,ISO IEA,IDA IBA,IDA ISO,ISO,IBA","ENSMUSG00000021210,ENSMUSG00000024292,ENSMUSG00000027048,ENSMUSG00000030382,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000032310,ENSMUSG00000054422,ENSMUSG00000054827,ENSMUSG00000056973,ENSMUSG00000057400,ENSMUSG00000094806","downregulated",13,"query_1",TRUE,1.03094286662093e-14,452,779,53,0.0680359435173299,0.117256637168142,"GO:0006631","GO:BP",27543,2603,"c(""GO:0032787"", ""GO:0044255"")","ISS ISO IBA IEA,IMP,IEA,ISO IBA IEA,IBA,IDA IBA IEA,ISO IBA IC,IBA TAS IEA,ISO IBA IEA,IMP ISS ISO IBA TAS IEA,ISO IBA,IMP,ISO IBA IEA,ISA IEA,IDA IMP ISO IBA TAS IEA,IBA,ISO IEA,ISO IEA,IMP,ISO IBA,ISO IBA IEA,ISO IBA TAS IEA,IBA IEA,IBA IEA,IDA ISO,IDA IBA IEA,IBA,IDA,IMP ISO IBA IEA,IMP ISO IBA IEA,IBA IEA,IBA,IEA,IEA,IDA ISO IBA IEA,ISO,ISO,IDA IBA,IDA ISO,ISO,ISO IEA,ISO,IMP ISS ISO IBA IEA,ISO IBA,ISO IBA TAS IEA,ISO,IDA ISO,IBA IEA,ISO,ISO,ISO,IBA,IBA","ENSMUSG00000003809,ENSMUSG00000005373,ENSMUSG00000006542,ENSMUSG00000010651,ENSMUSG00000021207,ENSMUSG00000021228,ENSMUSG00000021416,ENSMUSG00000021620,ENSMUSG00000021751,ENSMUSG00000022853,ENSMUSG00000024292,ENSMUSG00000025059,ENSMUSG00000025197,ENSMUSG00000026189,ENSMUSG00000027359,ENSMUSG00000027513,ENSMUSG00000027870,ENSMUSG00000028553,ENSMUSG00000028655,ENSMUSG00000028712,ENSMUSG00000028715,ENSMUSG00000030382,ENSMUSG00000030945,ENSMUSG00000030972,ENSMUSG00000031725,ENSMUSG00000033533,ENSMUSG00000033715,ENSMUSG00000034875,ENSMUSG00000037071,ENSMUSG00000038754,ENSMUSG00000039653,ENSMUSG00000040650,ENSMUSG00000041653,ENSMUSG00000044788,ENSMUSG00000052392,ENSMUSG00000052520,ENSMUSG00000054385,ENSMUSG00000054474,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000058022,ENSMUSG00000061959,ENSMUSG00000062908,ENSMUSG00000063929,ENSMUSG00000066072,ENSMUSG00000066097,ENSMUSG00000074028,ENSMUSG00000078937,ENSMUSG00000078964,ENSMUSG00000082932,ENSMUSG00000091813,ENSMUSG00000092008,ENSMUSG00000096852","downregulated"
"12","lipid catabolic process",45,"query_1",TRUE,0.00147673379672205,344,102,10,0.0980392156862745,0.0290697674418605,"GO:0016042","GO:BP",27543,5644,"c(""GO:0006629"", ""GO:1901575"")","ISO,ISO IBA,ISO IEA,IMP,ISO IBA IEA,IBA,ISO IEA,ISO IEA,IDA IMP IBA NAS IEA,IBA","ENSMUSG00000000049,ENSMUSG00000024292,ENSMUSG00000025991,ENSMUSG00000027048,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000032310,ENSMUSG00000054422,ENSMUSG00000056973,ENSMUSG00000057400","downregulated",33,"query_1",TRUE,1.57456480754329e-06,344,779,34,0.0436456996148909,0.0988372093023256,"GO:0016042","GO:BP",27543,5644,"c(""GO:0006629"", ""GO:1901575"")","ISS ISO IBA IEA,ISO IBA,IEA,ISO IC,ISO IBA IEA,IDA ISS ISO IBA IEA,IMP ISS ISO IBA TAS IEA,ISO IBA,IMP ISO IBA IEA,IBA,IDA IBA,ISO IBA IEA,IMP,IEA,IEA,IDA IBA,IDA ISS ISO IBA IEA,IDA,IEA,IEA,ISO IEA,IEA,IDA IMP IBA NAS IEA,IBA,ISO IEA,IBA,ISO IEA,IMP ISS ISO IBA IEA,ISO IC IEA,IEA,IEA,IBA,IEA,IBA","ENSMUSG00000003809,ENSMUSG00000010651,ENSMUSG00000015001,ENSMUSG00000021416,ENSMUSG00000021751,ENSMUSG00000022425,ENSMUSG00000022853,ENSMUSG00000024292,ENSMUSG00000027359,ENSMUSG00000027513,ENSMUSG00000027761,ENSMUSG00000028553,ENSMUSG00000028655,ENSMUSG00000028712,ENSMUSG00000028715,ENSMUSG00000031725,ENSMUSG00000032066,ENSMUSG00000034875,ENSMUSG00000037686,ENSMUSG00000038173,ENSMUSG00000038641,ENSMUSG00000041653,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000058022,ENSMUSG00000061959,ENSMUSG00000062432,ENSMUSG00000062908,ENSMUSG00000063415,ENSMUSG00000063929,ENSMUSG00000066072,ENSMUSG00000074156,ENSMUSG00000078937,ENSMUSG00000078964","downregulated"
"13","lipid localization",1,"query_1",TRUE,2.38076437615288e-13,490,102,21,0.205882352941176,0.0428571428571429,"GO:0010876","GO:BP",27543,4997,"GO:0033036","ISO,ISO IEA,IMP,ISO,ISO IBA IEA,IDA IMP ISO IC IEA,IMP ISS ISO IBA IEA,IDA,ISO IBA IEA,IDA IMP IBA IEA,IMP ISO IBA IEA,IEA,IDA IMP ISS ISO IBA IEA,IDA IPI IBA,IEA,ISO IEA,IDA IMP ISO IC IEA,IGI IEA,ISO IBA IEA,ISO,ISO","ENSMUSG00000000049,ENSMUSG00000002588,ENSMUSG00000006574,ENSMUSG00000012705,ENSMUSG00000021135,ENSMUSG00000024254,ENSMUSG00000027048,ENSMUSG00000028017,ENSMUSG00000030236,ENSMUSG00000030382,ENSMUSG00000032080,ENSMUSG00000032081,ENSMUSG00000032083,ENSMUSG00000035699,ENSMUSG00000037583,ENSMUSG00000037942,ENSMUSG00000040505,ENSMUSG00000047631,ENSMUSG00000054422,ENSMUSG00000056973,ENSMUSG00000057400","downregulated",39,"query_1",TRUE,3.96554522472609e-06,490,779,41,0.0526315789473684,0.0836734693877551,"GO:0010876","GO:BP",27543,4997,"GO:0033036","IDA ISO IBA IEA,IMP,IEA,IDA IBA,ISO IBA IEA,ISS ISO IEA,IDA IBA IEA,IDA,ISO IEA,IDA IMP ISO IC IEA,IMP ISO IBA IEA,IEA,IDA ISO IBA IEA,IBA,IGI,IDA,ISO IEA,IDA IMP ISO IEA,IDA IMP IBA IEA,ISO,IBA,IBA IEA,IBA,ISO,IMP,IEA,IDA IPI IBA IEA,ISO,ISO,ISS ISO,IBA,ISO,IEA,ISO IEA,IEA,IDA,IBA IEA,IEA,ISO IBA TAS IEA,ISO,IBA","ENSMUSG00000004668,ENSMUSG00000006574,ENSMUSG00000015001,ENSMUSG00000020062,ENSMUSG00000021135,ENSMUSG00000022061,ENSMUSG00000022215,ENSMUSG00000022366,ENSMUSG00000024107,ENSMUSG00000024254,ENSMUSG00000024391,ENSMUSG00000024757,ENSMUSG00000027359,ENSMUSG00000027530,ENSMUSG00000028003,ENSMUSG00000028017,ENSMUSG00000028553,ENSMUSG00000028655,ENSMUSG00000030382,ENSMUSG00000031725,ENSMUSG00000032454,ENSMUSG00000035435,ENSMUSG00000041698,ENSMUSG00000048834,ENSMUSG00000052520,ENSMUSG00000052562,ENSMUSG00000053862,ENSMUSG00000054385,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000058921,ENSMUSG00000061959,ENSMUSG00000063590,ENSMUSG00000064177,ENSMUSG00000067656,ENSMUSG00000073988,ENSMUSG00000074139,ENSMUSG00000075044,ENSMUSG00000078937,ENSMUSG00000078964,ENSMUSG00000079262","downregulated"
"14","lipid transport",2,"query_1",TRUE,2.8973900933126e-13,430,102,20,0.196078431372549,0.0465116279069767,"GO:0006869","GO:BP",27543,2815,"c(""GO:0010876"", ""GO:0071702"")","ISO,ISO IEA,IMP,ISO,ISO IBA IEA,IDA IMP ISO IC IEA,IMP ISS ISO IBA IEA,IDA,ISO IBA IEA,IDA IMP IBA IEA,IMP ISO IBA IEA,IEA,IDA IMP ISS ISO IBA IEA,IDA IPI IBA,IEA,IDA IMP ISO IC IEA,IGI IEA,ISO IBA IEA,ISO,ISO","ENSMUSG00000000049,ENSMUSG00000002588,ENSMUSG00000006574,ENSMUSG00000012705,ENSMUSG00000021135,ENSMUSG00000024254,ENSMUSG00000027048,ENSMUSG00000028017,ENSMUSG00000030236,ENSMUSG00000030382,ENSMUSG00000032080,ENSMUSG00000032081,ENSMUSG00000032083,ENSMUSG00000035699,ENSMUSG00000037583,ENSMUSG00000040505,ENSMUSG00000047631,ENSMUSG00000054422,ENSMUSG00000056973,ENSMUSG00000057400","downregulated",38,"query_1",TRUE,3.62489608540462e-06,430,779,38,0.0487804878048781,0.0883720930232558,"GO:0006869","GO:BP",27543,2815,"c(""GO:0010876"", ""GO:0071702"")","IDA ISO IBA IEA,IMP,IEA,IDA IBA,ISO IBA IEA,ISS ISO IEA,IDA,ISO IEA,IDA IMP ISO IC IEA,IMP ISO IBA IEA,IEA,IDA ISO IBA IEA,IBA,IGI,IDA,IDA IMP ISO IEA,IDA IMP IBA IEA,ISO,IBA,IBA IEA,IBA,IMP,IEA,IDA IPI IBA IEA,ISO,ISO,ISS ISO,IBA,ISO,IEA,ISO IEA,IEA,IDA,IBA IEA,IEA,ISO IBA TAS IEA,ISO,IBA","ENSMUSG00000004668,ENSMUSG00000006574,ENSMUSG00000015001,ENSMUSG00000020062,ENSMUSG00000021135,ENSMUSG00000022061,ENSMUSG00000022366,ENSMUSG00000024107,ENSMUSG00000024254,ENSMUSG00000024391,ENSMUSG00000024757,ENSMUSG00000027359,ENSMUSG00000027530,ENSMUSG00000028003,ENSMUSG00000028017,ENSMUSG00000028655,ENSMUSG00000030382,ENSMUSG00000031725,ENSMUSG00000032454,ENSMUSG00000035435,ENSMUSG00000041698,ENSMUSG00000052520,ENSMUSG00000052562,ENSMUSG00000053862,ENSMUSG00000054385,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000058921,ENSMUSG00000061959,ENSMUSG00000063590,ENSMUSG00000064177,ENSMUSG00000067656,ENSMUSG00000073988,ENSMUSG00000074139,ENSMUSG00000075044,ENSMUSG00000078937,ENSMUSG00000078964,ENSMUSG00000079262","downregulated"
"15","lipid transporter activity",93,"query_1",TRUE,5.59681734421593e-07,161,102,10,0.0980392156862745,0.062111801242236,"GO:0005319","GO:MF",25412,1777,"GO:0005215","ISO IBA IEA,IMP ISO IEA,IMP ISS ISO IBA IEA,ISO IBA IEA,IDA ISO IBA IEA,ISO IEA,IDA IMP ISO IEA,IPI,IMP ISO IEA,ISO IEA","ENSMUSG00000021135,ENSMUSG00000024254,ENSMUSG00000027048,ENSMUSG00000030236,ENSMUSG00000030382,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000035699,ENSMUSG00000040505,ENSMUSG00000054422","downregulated",159,"query_1",TRUE,3.94392690416047e-05,161,789,21,0.026615969581749,0.130434782608696,"GO:0005319","GO:MF",25412,1777,"GO:0005215","IBA,IDA,ISO IBA IEA,IMP ISO IEA,ISO IBA IEA,ISO,IDA IMP ISO IBA IEA,IDA IMP ISO IBA IEA,IDA ISO IBA IEA,IBA,IBA,ISO,IPI,ISO,IBA,ISO,ISO,IDA IBA,ISO IBA IEA,ISO,IBA","ENSMUSG00000004668,ENSMUSG00000020062,ENSMUSG00000021135,ENSMUSG00000024254,ENSMUSG00000024391,ENSMUSG00000024757,ENSMUSG00000027359,ENSMUSG00000028655,ENSMUSG00000030382,ENSMUSG00000035435,ENSMUSG00000041698,ENSMUSG00000052562,ENSMUSG00000053862,ENSMUSG00000054385,ENSMUSG00000058921,ENSMUSG00000063590,ENSMUSG00000067656,ENSMUSG00000073988,ENSMUSG00000074139,ENSMUSG00000075044,ENSMUSG00000079262","downregulated"
"16","monocarboxylic acid binding",107,"query_1",TRUE,0.0215063328967276,94,102,5,0.0490196078431373,0.0531914893617021,"GO:0033293","GO:MF",25412,5484,"GO:0031406","ISO IBA,ISO,ISO IBA IEA,ISO IBA IEA,IBA","ENSMUSG00000021210,ENSMUSG00000024292,ENSMUSG00000029368,ENSMUSG00000054422,ENSMUSG00000070690","downregulated",153,"query_1",TRUE,5.67177281945893e-06,94,789,17,0.0215462610899873,0.180851063829787,"GO:0033293","GO:MF",25412,5484,"GO:0031406","IMP ISO IBA,ISO IBA IEA,ISO,ISO,IBA,ISO IEA,ISO,ISO IBA IEA,IBA,IDA,IBA,ISO IBA,ISO,ISO IEA,ISO IEA,IBA,ISO","ENSMUSG00000021207,ENSMUSG00000021751,ENSMUSG00000022323,ENSMUSG00000024292,ENSMUSG00000027530,ENSMUSG00000028003,ENSMUSG00000028715,ENSMUSG00000029368,ENSMUSG00000029369,ENSMUSG00000031710,ENSMUSG00000032454,ENSMUSG00000033715,ENSMUSG00000057933,ENSMUSG00000062432,ENSMUSG00000063415,ENSMUSG00000070690,ENSMUSG00000090171","downregulated"
"17","monocarboxylic acid metabolic process",32,"query_1",TRUE,0.000295316371006008,649,102,14,0.137254901960784,0.0215716486902928,"GO:0032787","GO:BP",27543,9026,"GO:0019752","IMP,IBA,ISO IBA,IMP ISS ISO IEA,IMP ISS ISO IEA,IMP ISO IBA TAS IEA,ISO IBA IEA,IBA,ISO IEA,ISO IEA,IDA IBA,IDA ISO,ISO,IBA","ENSMUSG00000006574,ENSMUSG00000021210,ENSMUSG00000024292,ENSMUSG00000026272,ENSMUSG00000027048,ENSMUSG00000030382,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000032310,ENSMUSG00000054422,ENSMUSG00000054827,ENSMUSG00000056973,ENSMUSG00000057400,ENSMUSG00000094806","downregulated",4,"query_1",TRUE,7.86118149094191e-26,649,779,81,0.10397946084724,0.124807395993837,"GO:0032787","GO:BP",27543,9026,"GO:0019752","IEA,IEA,ISS ISO IBA IEA,IMP ISO IEA,IMP IEA,IMP,ISO IBA IEA,TAS,IBA,IDA IBA IEA,ISO IBA IC,IBA TAS IEA,ISO IBA IEA,IMP ISS ISO IBA TAS IEA,IMP,ISO IBA,IEA,IMP,ISO IBA IEA,IEA,ISA IEA,IEA,ISO IBA IEA,IDA IMP ISO IBA TAS IEA,IMP ISO IBA IEA,ISO IEA,ISO IBA IC IEA,ISO IEA,IMP,ISO IBA IEA,ISO IBA IEA,IMP ISO IBA TAS IEA,IBA IEA,IBA IEA,IDA ISO,NAS,IMP,IDA IBA IEA,IBA,IEA,IDA,ISO,IMP ISO IBA IEA,IDA ISS ISO IBA IEA,ISO IEA,IMP ISO IBA IEA,IDA ISO IBA IEA,ISO IEA,IBA,IEA,IEA,IDA ISO IBA IEA,ISO,ISO,ISO,IDA IBA,IDA ISO,ISS ISO,ISO IBA IEA,ISO IEA,ISO,ISO IEA,IMP ISS ISO IBA IEA,ISS ISO IC IEA,ISO IBA IEA,ISO IBA TAS IEA,ISO,ISS ISO IEA,IDA ISO,ISO,IBA IEA,ISO,IMP,ISO,IBA,ISO IBA IEA,ISO IBA,IBA,ISO,IBA,IBA","ENSMUSG00000000673,ENSMUSG00000001155,ENSMUSG00000003809,ENSMUSG00000005373,ENSMUSG00000006542,ENSMUSG00000006574,ENSMUSG00000010651,ENSMUSG00000020774,ENSMUSG00000021207,ENSMUSG00000021228,ENSMUSG00000021416,ENSMUSG00000021620,ENSMUSG00000021751,ENSMUSG00000022853,ENSMUSG00000023019,ENSMUSG00000024292,ENSMUSG00000024892,ENSMUSG00000025059,ENSMUSG00000025197,ENSMUSG00000025815,ENSMUSG00000026189,ENSMUSG00000026866,ENSMUSG00000027199,ENSMUSG00000027359,ENSMUSG00000027513,ENSMUSG00000027870,ENSMUSG00000028307,ENSMUSG00000028553,ENSMUSG00000028655,ENSMUSG00000028712,ENSMUSG00000028715,ENSMUSG00000030382,ENSMUSG00000030945,ENSMUSG00000030972,ENSMUSG00000031725,ENSMUSG00000032066,ENSMUSG00000032114,ENSMUSG00000033533,ENSMUSG00000033715,ENSMUSG00000034456,ENSMUSG00000034875,ENSMUSG00000035780,ENSMUSG00000037071,ENSMUSG00000037542,ENSMUSG00000038641,ENSMUSG00000038754,ENSMUSG00000039653,ENSMUSG00000039783,ENSMUSG00000040650,ENSMUSG00000041653,ENSMUSG00000044788,ENSMUSG00000052392,ENSMUSG00000052520,ENSMUSG00000054052,ENSMUSG00000054385,ENSMUSG00000054474,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000057880,ENSMUSG00000058022,ENSMUSG00000061959,ENSMUSG00000062432,ENSMUSG00000062908,ENSMUSG00000063415,ENSMUSG00000063929,ENSMUSG00000066072,ENSMUSG00000066097,ENSMUSG00000069805,ENSMUSG00000074028,ENSMUSG00000074639,ENSMUSG00000078937,ENSMUSG00000078964,ENSMUSG00000079262,ENSMUSG00000082932,ENSMUSG00000089675,ENSMUSG00000089678,ENSMUSG00000089943,ENSMUSG00000090171,ENSMUSG00000091813,ENSMUSG00000092008,ENSMUSG00000096852","downregulated"
"18","monocarboxylic acid transmembrane transporter activity",94,"query_1",TRUE,0.000112114210831546,63,102,6,0.0588235294117647,0.0952380952380952,"GO:0008028","GO:MF",25412,1934,"GO:0046943","ISO IBA IEA,IBA,IMP ISS ISO IBA IEA,ISO IBA IEA,IDA IBA IEA,IPI","ENSMUSG00000021135,ENSMUSG00000026220,ENSMUSG00000027048,ENSMUSG00000030236,ENSMUSG00000030382,ENSMUSG00000035699","downregulated",130,"query_1",TRUE,5.68540698623383e-16,63,789,23,0.0291508238276299,0.365079365079365,"GO:0008028","GO:MF",25412,1934,"GO:0046943","IDA,ISS ISO IBA IEA,ISO IBA IEA,ISO,IBA,IDA IBA,IBA,IDA ISO IEA,IEA,IDA IBA IEA,IBA IEA,IBA,IDA IBA,IBA,ISO,IPI,ISO,IBA,ISO,ISO,ISO,ISO,IBA","ENSMUSG00000020062,ENSMUSG00000020102,ENSMUSG00000021135,ENSMUSG00000024757,ENSMUSG00000026220,ENSMUSG00000027359,ENSMUSG00000027896,ENSMUSG00000028655,ENSMUSG00000030109,ENSMUSG00000030382,ENSMUSG00000032988,ENSMUSG00000037762,ENSMUSG00000041644,ENSMUSG00000041698,ENSMUSG00000052562,ENSMUSG00000053862,ENSMUSG00000054385,ENSMUSG00000058921,ENSMUSG00000063590,ENSMUSG00000067656,ENSMUSG00000074028,ENSMUSG00000075044,ENSMUSG00000079262","downregulated"
"19","monocarboxylic acid transport",18,"query_1",TRUE,8.47043604488256e-05,133,102,8,0.0784313725490196,0.0601503759398496,"GO:0015718","GO:BP",27543,5391,"GO:0046942","ISO IBA IEA,IBA,IMP ISS ISO IBA IEA,ISO IBA IEA,IDA IPI ISO IBA IEA,IEA,ISO,ISO","ENSMUSG00000021135,ENSMUSG00000026220,ENSMUSG00000027048,ENSMUSG00000030236,ENSMUSG00000035699,ENSMUSG00000037583,ENSMUSG00000056973,ENSMUSG00000057400","downregulated",17,"query_1",TRUE,3.57609662253592e-12,133,779,27,0.0346598202824134,0.203007518796992,"GO:0015718","GO:BP",27543,5391,"GO:0046942","IEA,IDA IBA IEA,ISS ISO IBA IEA,ISO IBA IEA,IDA,ISO IEA,IEA,IBA,IBA,ISO,IBA IEA,IBA,IEA,IBA,IEA,IDA IPI ISO IBA IEA,ISO,ISO,ISS ISO,IBA,ISO,IEA,IEA,ISO,IEA,ISO,IBA","ENSMUSG00000015001,ENSMUSG00000020062,ENSMUSG00000020102,ENSMUSG00000021135,ENSMUSG00000022366,ENSMUSG00000024107,ENSMUSG00000024757,ENSMUSG00000026220,ENSMUSG00000027896,ENSMUSG00000031725,ENSMUSG00000032988,ENSMUSG00000037762,ENSMUSG00000041644,ENSMUSG00000041698,ENSMUSG00000052562,ENSMUSG00000053862,ENSMUSG00000054385,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000058921,ENSMUSG00000061959,ENSMUSG00000063590,ENSMUSG00000067656,ENSMUSG00000074028,ENSMUSG00000075044,ENSMUSG00000078964,ENSMUSG00000079262","downregulated"
"20","olefinic compound metabolic process",63,"query_1",TRUE,0.0108982482808742,178,102,7,0.0686274509803922,0.0393258426966292,"GO:0120254","GO:BP",27543,22899,"GO:0071704","IBA,ISO IBA,ISS ISO IEA,IEA,IDA IBA,IEA,IBA","ENSMUSG00000021210,ENSMUSG00000024292,ENSMUSG00000032310,ENSMUSG00000040134,ENSMUSG00000054827,ENSMUSG00000056973,ENSMUSG00000094806","downregulated",23,"query_1",TRUE,3.79245762294007e-08,178,779,26,0.0333761232349166,0.146067415730337,"GO:0120254","GO:BP",27543,22899,"GO:0071704","ISS ISO IBA IEA,IBA,ISO IBA,ISO IBA IEA,IMP IGI ISS ISO IEA,ISO IBA,ISO IBA,IEA,IGI IBA NAS,IEA,IBA,ISS ISO IC IEA,IBA,ISO,ISO,IEA,IEA,ISO IBA,ISO IBA,ISO,ISO,ISO,IBA,ISO,ISO,IBA","ENSMUSG00000003555,ENSMUSG00000021207,ENSMUSG00000024292,ENSMUSG00000025197,ENSMUSG00000028003,ENSMUSG00000028712,ENSMUSG00000028715,ENSMUSG00000031725,ENSMUSG00000032066,ENSMUSG00000033122,ENSMUSG00000033715,ENSMUSG00000037542,ENSMUSG00000040650,ENSMUSG00000052520,ENSMUSG00000054052,ENSMUSG00000056973,ENSMUSG00000061959,ENSMUSG00000063929,ENSMUSG00000066072,ENSMUSG00000066097,ENSMUSG00000074639,ENSMUSG00000082932,ENSMUSG00000092008,ENSMUSG00000095143,ENSMUSG00000095388,ENSMUSG00000096852","downregulated"
"21","organic acid binding",98,"query_1",TRUE,0.00138136997173207,150,102,7,0.0686274509803922,0.0466666666666667,"GO:0043177","GO:MF",25412,6769,"GO:0036094","ISS ISO,ISO,ISO IEA,ISO IEA,ISO,ISO,ISO IEA","ENSMUSG00000022304,ENSMUSG00000024292,ENSMUSG00000025991,ENSMUSG00000026272,ENSMUSG00000035745,ENSMUSG00000037798,ENSMUSG00000054422","downregulated",154,"query_1",TRUE,1.10706463537826e-05,150,789,21,0.026615969581749,0.14,"GO:0043177","GO:MF",25412,6769,"GO:0036094","IEA,IDA ISO IBA IEA,ISO IEA,ISO,IMP,ISS ISO,ISO,IBA IEA,ISO,ISO IEA,ISO,ISO,ISO IEA,ISO,IDA,ISO IEA,ISO IEA,IBA,IBA,ISO IEA,ISO","ENSMUSG00000001155,ENSMUSG00000002769,ENSMUSG00000003526,ENSMUSG00000020051,ENSMUSG00000021207,ENSMUSG00000022304,ENSMUSG00000024292,ENSMUSG00000024827,ENSMUSG00000026691,ENSMUSG00000028003,ENSMUSG00000028715,ENSMUSG00000035745,ENSMUSG00000039579,ENSMUSG00000042102,ENSMUSG00000054474,ENSMUSG00000062432,ENSMUSG00000063415,ENSMUSG00000073063,ENSMUSG00000073940,ENSMUSG00000076441,ENSMUSG00000090171","downregulated"
"22","organic acid catabolic process",57,"query_1",TRUE,0.00882773259036546,245,102,8,0.0784313725490196,0.0326530612244898,"GO:0016054","GO:BP",27543,5654,"c(""GO:0006082"", ""GO:0044248"", ""GO:0044282"", ""GO:1901575"")","ISO IEA,ISO IBA,ISO IEA,IMP,ISS ISO IBA IEA,ISS ISO IEA,ISO IEA,IDA","ENSMUSG00000002588,ENSMUSG00000024292,ENSMUSG00000026272,ENSMUSG00000027048,ENSMUSG00000029445,ENSMUSG00000037798,ENSMUSG00000054422,ENSMUSG00000056973","downregulated",7,"query_1",TRUE,5.47926341195978e-20,245,779,45,0.0577663671373556,0.183673469387755,"GO:0016054","GO:BP",27543,5654,"c(""GO:0006082"", ""GO:0044248"", ""GO:0044282"", ""GO:1901575"")","IEA,TAS IEA,IBA IEA,ISS ISO IBA IEA,ISO IBA,IDA IBA IEA,IEA,ISO IBA IEA,ISO IC,ISO IBA IEA,IBA IEA,IMP ISS ISO IBA TAS IEA,ISO IBA,ISS ISO IBA IEA,ISS ISO,ISO,IEA,IMP ISO IBA IEA,IBA,IMP,IEA,IEA,ISS ISO IBA IEA,IDA IEA,IDA IMP ISO IBA IEA,IDA,ISO IBA IEA,IDA,IBA IEA,IEA,IEA,IEA,ISO IEA,IDA IBA,IDA,IEA,IBA,ISO IEA,ISO IEA,IMP ISS ISO IBA IEA,ISO IC IEA,IEA,IEA,IEA,ISO IBA IEA","ENSMUSG00000000673,ENSMUSG00000001155,ENSMUSG00000003526,ENSMUSG00000003809,ENSMUSG00000010651,ENSMUSG00000017718,ENSMUSG00000020051,ENSMUSG00000021238,ENSMUSG00000021416,ENSMUSG00000021751,ENSMUSG00000022821,ENSMUSG00000022853,ENSMUSG00000024292,ENSMUSG00000024827,ENSMUSG00000025911,ENSMUSG00000026348,ENSMUSG00000026866,ENSMUSG00000027359,ENSMUSG00000027513,ENSMUSG00000028655,ENSMUSG00000028712,ENSMUSG00000028715,ENSMUSG00000029445,ENSMUSG00000029695,ENSMUSG00000031549,ENSMUSG00000031725,ENSMUSG00000034456,ENSMUSG00000034875,ENSMUSG00000036892,ENSMUSG00000037542,ENSMUSG00000038641,ENSMUSG00000039783,ENSMUSG00000052392,ENSMUSG00000054474,ENSMUSG00000056973,ENSMUSG00000057228,ENSMUSG00000057880,ENSMUSG00000058022,ENSMUSG00000062432,ENSMUSG00000062908,ENSMUSG00000063415,ENSMUSG00000063929,ENSMUSG00000066072,ENSMUSG00000078937,ENSMUSG00000089678","downregulated"
