"","term_name","query.x","significant.x","p_value.x","term_size.x","query_size.x","intersection_size.x","precision.x","recall.x","term_id.x","source.x","effective_domain_size.x","source_order.x","parents.x","evidence_codes.x","intersection.x","direction.x","query.y","significant.y","p_value.y","term_size.y","query_size.y","intersection_size.y","precision.y","recall.y","term_id.y","source.y","effective_domain_size.y","source_order.y","parents.y","evidence_codes.y","intersection.y","direction.y"
"1","acid secretion","query_1","TRUE","0.0287910579914757","58","982","11","0.0112016293279022","0.189655172413793","GO:0046717","GO:BP","27543","14318","GO:0046903","IMP,IEA,ISO,IDA IEA,ISO IEA,ISO,ISS ISO,ISO IEA,ISO,ISO IBA IEA,ISO","ENSMUSG00000017412,ENSMUSG00000021135,ENSMUSG00000031725,ENSMUSG00000040569,ENSMUSG00000053862,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000057880,ENSMUSG00000061959,ENSMUSG00000064177,ENSMUSG00000078964","downregulated","query_1","TRUE","1.26688601868075e-05","58","468","11","0.0235042735042735","0.189655172413793","GO:0046717","GO:BP","27543","14318","GO:0046903","ISO IEA,IEA,IMP,IMP IEA,ISO IEA,ISO,ISO,ISS ISO,ISO,ISO IBA IEA,ISO","ENSMUSG00000005952,ENSMUSG00000021135,ENSMUSG00000026272,ENSMUSG00000027048,ENSMUSG00000035699,ENSMUSG00000039059,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000057400,ENSMUSG00000064177,ENSMUSG00000078964","downregulated"
"2","arachidonic acid epoxygenase activity","query_1","TRUE","0.00135537987832923","46","980","11","0.0112244897959184","0.239130434782609","GO:0008392","GO:MF","25412","2124","GO:0008391","ISO,ISO IBA IEA,ISO,ISO,IBA,ISO,ISO,ISO,ISO,ISO,ISO IBA","ENSMUSG00000024292,ENSMUSG00000025197,ENSMUSG00000028712,ENSMUSG00000028715,ENSMUSG00000040650,ENSMUSG00000052520,ENSMUSG00000063929,ENSMUSG00000066072,ENSMUSG00000066097,ENSMUSG00000082932,ENSMUSG00000092008","downregulated","query_1","TRUE","3.637185781947e-11","46","458","14","0.0305676855895196","0.304347826086957","GO:0008392","GO:MF","25412","2124","GO:0008391","IDA ISO IBA IEA,ISO,IDA IBA,IDA ISO IBA,IBA,ISO IBA,IDA ISO IBA,IBA,IBA,ISO IBA,IDA ISO IBA,IBA,ISO IBA,IBA","ENSMUSG00000003053,ENSMUSG00000024292,ENSMUSG00000025002,ENSMUSG00000025004,ENSMUSG00000040660,ENSMUSG00000042248,ENSMUSG00000054827,ENSMUSG00000060407,ENSMUSG00000060613,ENSMUSG00000062624,ENSMUSG00000067225,ENSMUSG00000074254,ENSMUSG00000074882,ENSMUSG00000091867","downregulated"
"3","arachidonic acid monooxygenase activity","query_1","TRUE","0.00266281212629663","49","980","11","0.0112244897959184","0.224489795918367","GO:0008391","GO:MF","25412","2123","c(""GO:0004497"", ""GO:0016705"")","ISO IBA,ISO IBA IEA,ISO IBA,ISO IBA,IBA,ISO,ISO IBA,ISO IBA,ISO,ISO,ISO IBA","ENSMUSG00000024292,ENSMUSG00000025197,ENSMUSG00000028712,ENSMUSG00000028715,ENSMUSG00000040650,ENSMUSG00000052520,ENSMUSG00000063929,ENSMUSG00000066072,ENSMUSG00000066097,ENSMUSG00000082932,ENSMUSG00000092008","downregulated","query_1","TRUE","9.74618142135092e-11","49","458","14","0.0305676855895196","0.285714285714286","GO:0008391","GO:MF","25412","2123","c(""GO:0004497"", ""GO:0016705"")","IDA ISO IBA IEA,ISO IBA,IDA IBA,IDA ISO IBA,IBA,IDA ISO IBA,IDA ISO IBA,IBA,IBA,ISO IBA,IDA ISO IBA,IBA,ISO IBA,IBA","ENSMUSG00000003053,ENSMUSG00000024292,ENSMUSG00000025002,ENSMUSG00000025004,ENSMUSG00000040660,ENSMUSG00000042248,ENSMUSG00000054827,ENSMUSG00000060407,ENSMUSG00000060613,ENSMUSG00000062624,ENSMUSG00000067225,ENSMUSG00000074254,ENSMUSG00000074882,ENSMUSG00000091867","downregulated"
"4","bile acid biosynthetic process","query_1","TRUE","0.0012363334677249","27","982","9","0.00916496945010183","0.333333333333333","GO:0006699","GO:BP","27543","2667","c(""GO:0006694"", ""GO:0008206"", ""GO:0072330"", ""GO:1901617"")","ISO IBA IEA,ISO IBA IEA,ISO,ISO IEA,ISO IEA,ISO,ISS ISO,ISO,ISO","ENSMUSG00000027359,ENSMUSG00000030382,ENSMUSG00000031725,ENSMUSG00000038641,ENSMUSG00000039653,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000061959,ENSMUSG00000078964","downregulated","query_1","TRUE","0.0191868796778089","27","468","6","0.0128205128205128","0.222222222222222","GO:0006699","GO:BP","27543","2667","c(""GO:0006694"", ""GO:0008206"", ""GO:0072330"", ""GO:1901617"")","ISS ISO IBA TAS IEA,ISO IBA IEA,ISO,ISS ISO,ISO,ISO","ENSMUSG00000028240,ENSMUSG00000030382,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000057400,ENSMUSG00000078964","downregulated"
"5","bile acid metabolic process","query_1","TRUE","0.00153001956553607","44","982","11","0.0112016293279022","0.25","GO:0008206","GO:BP","27543","3547","c(""GO:0008202"", ""GO:0032787"", ""GO:1901615"")","ISO,ISO IBA IEA,IMP ISO IBA IEA,ISO,ISO IEA,IDA ISO IEA,ISO,ISS ISO,ISO,ISO,IMP","ENSMUSG00000010651,ENSMUSG00000027359,ENSMUSG00000030382,ENSMUSG00000031725,ENSMUSG00000038641,ENSMUSG00000039653,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000061959,ENSMUSG00000078964,ENSMUSG00000079262","downregulated","query_1","TRUE","0.00255421667339308","44","468","8","0.0170940170940171","0.181818181818182","GO:0008206","GO:BP","27543","3547","c(""GO:0008202"", ""GO:0032787"", ""GO:1901615"")","IMP ISS ISO IEA,ISS ISO IBA TAS IEA,IDA IEA,IMP ISO IBA IEA,ISO,ISS ISO,ISO,ISO","ENSMUSG00000027048,ENSMUSG00000028240,ENSMUSG00000030378,ENSMUSG00000030382,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000057400,ENSMUSG00000078964","downregulated"
"6","bile acid secretion","query_1","TRUE","0.00534521163069307","17","982","7","0.00712830957230143","0.411764705882353","GO:0032782","GO:BP","27543","9022","c(""GO:0015718"", ""GO:0046717"")","IEA,ISO,ISO IEA,ISO,ISS ISO,ISO,ISO","ENSMUSG00000021135,ENSMUSG00000031725,ENSMUSG00000053862,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000061959,ENSMUSG00000078964","downregulated","query_1","TRUE","2.47174821382959e-05","17","468","7","0.014957264957265","0.411764705882353","GO:0032782","GO:BP","27543","9022","c(""GO:0015718"", ""GO:0046717"")","IEA,IMP IEA,ISO IEA,ISO,ISS ISO,ISO,ISO","ENSMUSG00000021135,ENSMUSG00000027048,ENSMUSG00000035699,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000057400,ENSMUSG00000078964","downregulated"
"7","Bile secretion","query_1","TRUE","0.00136488195841121","97","338","15","0.0443786982248521","0.154639175257732","KEGG:04976","KEGG","8583","389","KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000021135,ENSMUSG00000024254,ENSMUSG00000030382,ENSMUSG00000035780,ENSMUSG00000036123,ENSMUSG00000039653,ENSMUSG00000041698,ENSMUSG00000053862,ENSMUSG00000061906,ENSMUSG00000063796,ENSMUSG00000067144,ENSMUSG00000079262,ENSMUSG00000089675,ENSMUSG00000089943,ENSMUSG00000090171","downregulated","query_1","TRUE","1.61465091758657e-08","97","173","16","0.092485549132948","0.164948453608247","KEGG:04976","KEGG","8583","389","KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000021135,ENSMUSG00000024254,ENSMUSG00000027048,ENSMUSG00000028240,ENSMUSG00000030236,ENSMUSG00000030378,ENSMUSG00000030382,ENSMUSG00000035699,ENSMUSG00000035836,ENSMUSG00000037583,ENSMUSG00000061906,ENSMUSG00000067144,ENSMUSG00000070704,ENSMUSG00000074375,ENSMUSG00000078798,ENSMUSG00000078799","downregulated"
"8","Biological oxidations","query_1","TRUE","1.36026591496693e-10","198","304","32","0.105263157894737","0.161616161616162","REAC:R-MMU-211859","REAC","8710","170","REAC:R-MMU-1430728","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSMUSG00000001467,ENSMUSG00000006345,ENSMUSG00000020309,ENSMUSG00000022235,ENSMUSG00000024292,ENSMUSG00000024866,ENSMUSG00000024899,ENSMUSG00000026691,ENSMUSG00000027761,ENSMUSG00000028712,ENSMUSG00000028713,ENSMUSG00000028715,ENSMUSG00000029269,ENSMUSG00000030945,ENSMUSG00000030972,ENSMUSG00000033533,ENSMUSG00000038045,ENSMUSG00000040170,ENSMUSG00000040181,ENSMUSG00000049152,ENSMUSG00000056035,ENSMUSG00000056973,ENSMUSG00000061906,ENSMUSG00000062432,ENSMUSG00000063415,ENSMUSG00000063929,ENSMUSG00000066072,ENSMUSG00000072664,ENSMUSG00000089675,ENSMUSG00000089943,ENSMUSG00000090171,ENSMUSG00000091813","downregulated","query_1","TRUE","3.04467980305538e-12","198","155","25","0.161290322580645","0.126262626262626","REAC:R-MMU-211859","REAC","8710","170","REAC:R-MMU-1430728","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSMUSG00000004038,ENSMUSG00000022589,ENSMUSG00000024292,ENSMUSG00000025002,ENSMUSG00000026691,ENSMUSG00000028240,ENSMUSG00000029630,ENSMUSG00000032310,ENSMUSG00000032323,ENSMUSG00000035836,ENSMUSG00000037798,ENSMUSG00000038656,ENSMUSG00000054417,ENSMUSG00000056035,ENSMUSG00000056973,ENSMUSG00000060407,ENSMUSG00000061292,ENSMUSG00000061906,ENSMUSG00000062181,ENSMUSG00000062432,ENSMUSG00000070704,ENSMUSG00000074254,ENSMUSG00000075551,ENSMUSG00000075604,ENSMUSG00000091813","downregulated"
"9","carboxylic acid metabolic process","query_1","TRUE","9.29452255385551e-28","939","982","115","0.117107942973523","0.122470713525027","GO:0019752","GO:BP","27543","6954","GO:0043436","ISS ISO IBA IEA,TAS IEA,IMP ISO IBA,IBA IEA,ISS ISO IBA IEA,IMP ISO IEA,IMP ISS,IMP IEA,IMP,ISO IBA IEA,IDA IBA IEA,ISS ISO IBA IEA,ISO IBA IEA,TAS,IBA,IDA IBA IEA,ISO IBA IEA,ISO IBA IC,IEA,IBA TAS IEA,ISO IBA IEA,ISS ISO,IMP IBA IEA,IMP ISS ISO IBA TAS IEA,IMP,IBA,IEA,ISO IBA,ISO,ISS ISO IBA IEA,IEA,IMP,ISO IBA IEA,IEA,ISS ISO,IBA IEA,ISA IEA,ISS ISO IEA,IEA,ISO IBA IEA,IDA IMP ISO IBA TAS IEA,IMP ISO IBA IEA,ISO IEA,ISS ISO IBA IEA,ISO IBA IC IEA,ISO IEA,IMP,ISO IBA IEA,ISO IBA IEA,ISS ISO IBA IEA,IDA IBA IEA,IMP ISO IBA TAS IEA,ISO IEA,IBA IEA,IBA IEA,IDA IMP ISO IBA IEA,IDA ISO,NAS,IMP,ISS ISO IBA IEA,IDA IBA IEA,IBA,ISO IBA IEA,IEA,IDA,ISO,IBA IEA,IMP ISO IBA IEA,IDA ISS ISO IBA IEA,ISO IEA,ISO IEA,IMP ISO IBA IEA,IMP,IDA ISO IBA IEA,IMP ISO IBA IEA,IBA,IEA,ISO IEA,IEA,IDA ISO IBA IEA,ISO,ISO,ISO,IDA IBA,IDA ISO,ISS ISO,ISS ISO IBA IEA,ISO IBA IEA,ISO IEA,ISO,ISO IEA,IMP ISS ISO IBA IEA,ISS ISO IC IEA,ISO IBA IEA,ISO IBA TAS IEA,ISO,IDA ISO IEA,ISS ISO IEA,IDA ISO,ISO,IDA ISO IEA,ISS ISO IBA IEA,IBA IEA,ISO,IMP,ISO,IBA,ISO IBA IEA,IEA,ISO IBA,IBA,ISO,IBA,IBA,IBA","ENSMUSG00000000673,ENSMUSG00000001155,ENSMUSG00000002769,ENSMUSG00000003526,ENSMUSG00000003809,ENSMUSG00000005373,ENSMUSG00000006345,ENSMUSG00000006542,ENSMUSG00000006574,ENSMUSG00000010651,ENSMUSG00000017718,ENSMUSG00000019762,ENSMUSG00000020051,ENSMUSG00000020774,ENSMUSG00000021207,ENSMUSG00000021228,ENSMUSG00000021238,ENSMUSG00000021416,ENSMUSG00000021490,ENSMUSG00000021620,ENSMUSG00000021751,ENSMUSG00000022304,ENSMUSG00000022821,ENSMUSG00000022853,ENSMUSG00000023019,ENSMUSG00000023120,ENSMUSG00000023262,ENSMUSG00000024292,ENSMUSG00000024694,ENSMUSG00000024827,ENSMUSG00000024892,ENSMUSG00000025059,ENSMUSG00000025197,ENSMUSG00000025815,ENSMUSG00000025911,ENSMUSG00000025963,ENSMUSG00000026189,ENSMUSG00000026348,ENSMUSG00000026866,ENSMUSG00000027199,ENSMUSG00000027359,ENSMUSG00000027513,ENSMUSG00000027870,ENSMUSG00000028179,ENSMUSG00000028307,ENSMUSG00000028553,ENSMUSG00000028655,ENSMUSG00000028712,ENSMUSG00000028715,ENSMUSG00000029445,ENSMUSG00000029695,ENSMUSG00000030382,ENSMUSG00000030562,ENSMUSG00000030945,ENSMUSG00000030972,ENSMUSG00000031549,ENSMUSG00000031725,ENSMUSG00000032066,ENSMUSG00000032114,ENSMUSG00000033427,ENSMUSG00000033533,ENSMUSG00000033715,ENSMUSG00000034456,ENSMUSG00000034785,ENSMUSG00000034875,ENSMUSG00000035780,ENSMUSG00000036892,ENSMUSG00000037071,ENSMUSG00000037542,ENSMUSG00000037686,ENSMUSG00000038641,ENSMUSG00000038754,ENSMUSG00000039438,ENSMUSG00000039653,ENSMUSG00000039783,ENSMUSG00000040650,ENSMUSG00000041653,ENSMUSG00000042118,ENSMUSG00000044788,ENSMUSG00000052392,ENSMUSG00000052520,ENSMUSG00000054052,ENSMUSG00000054385,ENSMUSG00000054474,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000057228,ENSMUSG00000057880,ENSMUSG00000058022,ENSMUSG00000061959,ENSMUSG00000062432,ENSMUSG00000062908,ENSMUSG00000063415,ENSMUSG00000063929,ENSMUSG00000066072,ENSMUSG00000066097,ENSMUSG00000069324,ENSMUSG00000069805,ENSMUSG00000074028,ENSMUSG00000074639,ENSMUSG00000074768,ENSMUSG00000076441,ENSMUSG00000078937,ENSMUSG00000078964,ENSMUSG00000079262,ENSMUSG00000082932,ENSMUSG00000089675,ENSMUSG00000089678,ENSMUSG00000089739,ENSMUSG00000089943,ENSMUSG00000090171,ENSMUSG00000091813,ENSMUSG00000092008,ENSMUSG00000096852,ENSMUSG00000115022","downregulated","query_1","TRUE","3.15835844781091e-10","939","468","52","0.111111111111111","0.0553780617678381","GO:0019752","GO:BP","27543","6954","GO:0043436","IDA ISO IEA,ISO IEA,IDA IBA IEA,IMP,IBA,ISS ISO,ISO IBA,IDA ISO IBA,IBA IEA,IBA,ISO IBA IEA,IMP ISS ISO IBA IEA,IMP ISS ISO IEA,ISS ISO IBA IEA,ISS ISO IBA IEA,IEA,ISS ISO IBA TAS IEA,IMP,ISS ISO IBA IEA,ISO IBA IEA,IDA IEA,IMP ISO IBA TAS IEA,ISO IBA IEA,ISO IBA IEA,ISO IBA IEA,IBA,ISO IEA,IEA,ISO IEA,ISS ISO IEA,IBA,IDA IBA IEA,ISO IEA,IDA IBA,ISO,IDA ISO,ISS ISO,ISO,IBA,IBA,IEA,ISO IEA,IBA,IDA IBA,IBA,IDA ISO IEA,IBA,ISO,ISO,IBA,IBA,ISO","ENSMUSG00000001670,ENSMUSG00000002588,ENSMUSG00000003053,ENSMUSG00000006574,ENSMUSG00000021210,ENSMUSG00000022304,ENSMUSG00000024292,ENSMUSG00000025002,ENSMUSG00000025004,ENSMUSG00000025955,ENSMUSG00000025991,ENSMUSG00000026272,ENSMUSG00000027048,ENSMUSG00000027261,ENSMUSG00000028011,ENSMUSG00000028148,ENSMUSG00000028240,ENSMUSG00000028749,ENSMUSG00000029445,ENSMUSG00000029597,ENSMUSG00000030378,ENSMUSG00000030382,ENSMUSG00000031173,ENSMUSG00000032079,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000032310,ENSMUSG00000034785,ENSMUSG00000035836,ENSMUSG00000037798,ENSMUSG00000040660,ENSMUSG00000042248,ENSMUSG00000054422,ENSMUSG00000054827,ENSMUSG00000055730,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000057400,ENSMUSG00000060407,ENSMUSG00000060613,ENSMUSG00000061099,ENSMUSG00000062432,ENSMUSG00000062624,ENSMUSG00000067225,ENSMUSG00000074254,ENSMUSG00000074768,ENSMUSG00000074882,ENSMUSG00000078964,ENSMUSG00000091813,ENSMUSG00000091867,ENSMUSG00000094806,ENSMUSG00000109350","downregulated"
"10","cellular hormone metabolic process","query_1","TRUE","0.00110543159425971","144","982","20","0.0203665987780041","0.138888888888889","GO:0034754","GO:BP","27543","10030","c(""GO:0042445"", ""GO:0044237"")","ISS ISO IBA IEA,ISS ISO IBA IEA,IBA,IMP IGI ISS ISO IEA,IEA,NAS,IBA,IDA ISS ISO IBA IEA,IBA,ISO IBA IEA,ISO,IEA,IEA,ISO IEA,ISS ISO IC IEA,ISS ISO IBA,ISO,IBA,ISO IBA,ISO IBA","ENSMUSG00000003555,ENSMUSG00000020804,ENSMUSG00000021207,ENSMUSG00000028003,ENSMUSG00000031725,ENSMUSG00000032066,ENSMUSG00000033715,ENSMUSG00000037542,ENSMUSG00000038092,ENSMUSG00000038641,ENSMUSG00000054052,ENSMUSG00000056973,ENSMUSG00000061959,ENSMUSG00000062432,ENSMUSG00000063415,ENSMUSG00000063730,ENSMUSG00000074639,ENSMUSG00000090817,ENSMUSG00000095143,ENSMUSG00000095388","downregulated","query_1","TRUE","0.000683958071216438","144","468","14","0.0299145299145299","0.0972222222222222","GO:0034754","GO:BP","27543","10030","c(""GO:0042445"", ""GO:0044237"")","IBA,IDA ISO IBA,ISO,IBA,IBA,ISS ISO IEA,IDA ISO IBA IEA,ISO IEA,IEA,IEA,IEA,ISO IEA,ISO IBA,ISO IBA","ENSMUSG00000021210,ENSMUSG00000022589,ENSMUSG00000025002,ENSMUSG00000025955,ENSMUSG00000027871,ENSMUSG00000032310,ENSMUSG00000032323,ENSMUSG00000035836,ENSMUSG00000040134,ENSMUSG00000055730,ENSMUSG00000056973,ENSMUSG00000062432,ENSMUSG00000075604,ENSMUSG00000095143","downregulated"
