"","term_name","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","effective_domain_size","source_order","parents","evidence_codes","intersection","direction","query.x","significant.x","p_value.x","term_size.x","query_size.x","intersection_size.x","precision.x","recall.x","term_id.x","source.x","effective_domain_size.x","source_order.x","parents.x","evidence_codes.x","intersection.x","direction.x","query.y","significant.y","p_value.y","term_size.y","query_size.y","intersection_size.y","precision.y","recall.y","term_id.y","source.y","effective_domain_size.y","source_order.y","parents.y","evidence_codes.y","intersection.y","direction.y"
"1","Retinol metabolism","query_1","TRUE","0.000281106236119784","96","77","8","0.103896103896104","0.0833333333333333","KEGG:00830","KEGG","8583","127","KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000040650,ENSMUSG00000040660,ENSMUSG00000056148,ENSMUSG00000060613,ENSMUSG00000074254,ENSMUSG00000089675,ENSMUSG00000090165,ENSMUSG00000090175","downregulated","query_1","TRUE","4.3014617139575e-05","96","338","17","0.0502958579881657","0.177083333333333","KEGG:00830","KEGG","8583","127","KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000025197,ENSMUSG00000028003,ENSMUSG00000028712,ENSMUSG00000028715,ENSMUSG00000035780,ENSMUSG00000040650,ENSMUSG00000054052,ENSMUSG00000056035,ENSMUSG00000061906,ENSMUSG00000062432,ENSMUSG00000063415,ENSMUSG00000063929,ENSMUSG00000066072,ENSMUSG00000074639,ENSMUSG00000089675,ENSMUSG00000089943,ENSMUSG00000090171","downregulated","query_1","TRUE","6.87540533114854e-18","96","173","24","0.138728323699422","0.25","KEGG:00830","KEGG","8583","127","KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000003053,ENSMUSG00000025002,ENSMUSG00000025004,ENSMUSG00000025396,ENSMUSG00000029630,ENSMUSG00000030483,ENSMUSG00000032310,ENSMUSG00000035836,ENSMUSG00000038656,ENSMUSG00000040134,ENSMUSG00000040660,ENSMUSG00000042248,ENSMUSG00000054417,ENSMUSG00000054827,ENSMUSG00000056035,ENSMUSG00000060407,ENSMUSG00000060613,ENSMUSG00000061906,ENSMUSG00000062432,ENSMUSG00000067225,ENSMUSG00000070704,ENSMUSG00000074254,ENSMUSG00000074882,ENSMUSG00000075551","downregulated"
"2","Steroid hormone biosynthesis","query_1","TRUE","0.0190199456419266","89","77","6","0.0779220779220779","0.0674157303370786","KEGG:00140","KEGG","8583","17","KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000040650,ENSMUSG00000040660,ENSMUSG00000060613,ENSMUSG00000089675,ENSMUSG00000090165,ENSMUSG00000090175","downregulated","query_1","TRUE","2.08792943486401e-06","89","338","18","0.0532544378698225","0.202247191011236","KEGG:00140","KEGG","8583","17","KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000003555,ENSMUSG00000022445,ENSMUSG00000025197,ENSMUSG00000033122,ENSMUSG00000035780,ENSMUSG00000038092,ENSMUSG00000038641,ENSMUSG00000040650,ENSMUSG00000056035,ENSMUSG00000061906,ENSMUSG00000063730,ENSMUSG00000089675,ENSMUSG00000089943,ENSMUSG00000090171,ENSMUSG00000090817,ENSMUSG00000095143,ENSMUSG00000095388,ENSMUSG00000096852","downregulated","query_1","TRUE","7.90094012623719e-23","89","173","27","0.15606936416185","0.303370786516854","KEGG:00140","KEGG","8583","17","KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000003053,ENSMUSG00000025002,ENSMUSG00000025004,ENSMUSG00000025396,ENSMUSG00000027871,ENSMUSG00000028240,ENSMUSG00000029630,ENSMUSG00000030483,ENSMUSG00000032310,ENSMUSG00000032323,ENSMUSG00000033122,ENSMUSG00000035836,ENSMUSG00000038656,ENSMUSG00000040660,ENSMUSG00000042248,ENSMUSG00000054417,ENSMUSG00000054827,ENSMUSG00000056035,ENSMUSG00000060613,ENSMUSG00000061906,ENSMUSG00000067225,ENSMUSG00000070704,ENSMUSG00000074882,ENSMUSG00000075551,ENSMUSG00000075604,ENSMUSG00000094806,ENSMUSG00000095143","downregulated"
