hgnc_symbol,log2FoldChange,padj,CD
ELAVL3,-1.30239033965219,0.00900745864931209,0.01511008
CD44,1.55657689669353,5.2273060143436e-4,-0.04428498
CEBPB,-1.24169681477805,2.42008046608334e-5,0.032409
AMD1,3.03158310390699,1.11223182474569e-24,-0.01635781
IGLL1,1.735097153059,0.0225988789842727,-0.03043167
