hgnc_symbol,log2FoldChange,padj,CD
ELAVL3,-2.53506310586291,4.71483678093912e-7,0.01511008
SERPINB9,3.08578825304275,0.00132730119960521,-0.02418698
SERPINE1,2.79285442166876,1.75910663803252e-8,-0.01622864
EGR2,4.52335099570218,7.05545065731772e-17,-0.03777863
ALDH1A1,2.85422561648953,2.89163944116964e-64,-0.02845395
MSLN,3.15290391531862,5.9526483172587194e-34,-0.01939029
ACTC1,3.90780101363059,4.1218011988805e-4,-0.02351709
