"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000411",0.355636983259328,-2.02480820745995,4.03628267044548,-0.501651735713663,0.615912520358531,NA
"ENSMUSG00000000632",1.73555621335848,-3.21095219692766,2.07957488059074,-1.54404259586725,0.12257801384668,NA
"ENSMUSG00000001260",14.4174493554097,-2.13177350289903,0.672382854757259,-3.17047570118163,0.00152189560866869,0.0268374803129469
"ENSMUSG00000005716",680.059847313039,-2.28753814135883,0.587175951001275,-3.89583077688729,9.78627015735502e-05,0.00309128914861641
"ENSMUSG00000005917",0.526648805542265,-2.59326208660626,3.32961008616324,-0.778848579712981,0.436068917017186,NA
"ENSMUSG00000006179",3.08586414146281,-2.00432203978124,1.83930671091109,-1.08971604784088,0.275838244782715,NA
"ENSMUSG00000006270",1.05519048392779,-2.39253447048624,2.39297441274524,-0.999816152543609,0.317399487445945,NA
"ENSMUSG00000009487",4.70807355728865,-3.1566539248751,1.30981547046142,-2.40999896249742,0.0159525658860478,NA
"ENSMUSG00000010492",1.72884068330774,-3.20586367010129,2.01192518414119,-1.5934308568585,0.111063568039287,NA
"ENSMUSG00000010601",0.369068043360815,-2.07145546071298,4.03222697500513,-0.513724915178006,0.607444329933366,NA
"ENSMUSG00000011350",0.690945097774459,-2.98790047382738,3.03606176149513,-0.984136920968289,0.32504819560812,NA
"ENSMUSG00000011486",0.355636983259328,-2.02480820745995,4.03628267044548,-0.501651735713663,0.615912520358531,NA
"ENSMUSG00000011589",0.513126606144795,-2.55921542592677,3.99664523264139,-0.640340905173457,0.521950992750843,NA
"ENSMUSG00000012211",0.355636983259328,-2.02480820745995,4.03628267044548,-0.501651735713663,0.615912520358531,NA
"ENSMUSG00000015957",40.2342890872667,-2.74115596339681,0.478671331763378,-5.72659313708774,1.02467517697349e-08,1.26485613157615e-06
"ENSMUSG00000016150",0.546886534990478,-2.64315432723765,3.99161988712347,-0.662175858919878,0.507858523820867,NA
"ENSMUSG00000017007",1.21957791545597,-2.63943432569059,2.32735641561808,-1.13409115508835,0.256756313391557,NA
"ENSMUSG00000020007",0.355636983259328,-2.02480820745995,4.03628267044548,-0.501651735713663,0.615912520358531,NA
"ENSMUSG00000020052",3.16170479091558,-2.49639204662503,1.42496673216484,-1.75189496728282,0.0797918701044645,NA
"ENSMUSG00000020108",2252.81361906292,-2.65094544233008,0.203028533259257,-13.0570092773362,5.79603789501254e-39,1.68133399271155e-35
"ENSMUSG00000020798",92.5021893107434,-2.24244203972271,0.422262022433564,-5.3105463446586,1.09297085565792e-07,9.85655841592029e-06
"ENSMUSG00000020887",2.05638048698691,-2.47451555299528,1.81466065160951,-1.36362440591882,0.17268580677178,NA
"ENSMUSG00000021078",3.41632518141109,-4.26261348465602,2.14677934326666,-1.98558528990212,0.0470793911567836,NA
"ENSMUSG00000021086",0.492888876696581,-2.50699158301425,3.99991917004463,-0.626760561010607,0.530816199372581,NA
"ENSMUSG00000021194",0.348830313912601,-2.0000060755762,4.03849132095704,-0.495235947443423,0.620433578626445,NA
"ENSMUSG00000021239",0.355636983259328,-2.02480820745995,4.03628267044548,-0.501651735713663,0.615912520358531,NA
"ENSMUSG00000021453",2061.25760659338,-2.230493856197,0.257363519998227,-8.66670558520637,4.44803192472745e-18,2.76492841606719e-15
"ENSMUSG00000021587",0.506411076094051,-2.54217906115873,3.99770055089342,-0.635910326147515,0.524834871837465,NA
"ENSMUSG00000021631",3.87347011712275,-5.47493776933109,2.35067508719407,-2.32909167207211,0.0198542097791837,NA
