"","Mouse.gene.stable.ID","LFC"
"1","ENSMUSG00000000049","-4.03389514655219"
"2","ENSMUSG00000002100","-2.52367666599586"
"3","ENSMUSG00000002588","-4.50118671139128"
"4","ENSMUSG00000003410","-2.70565537891648"
"5","ENSMUSG00000003477","-3.54594612877568"
"6","ENSMUSG00000005716","-3.68994641042831"
"7","ENSMUSG00000006570","-2.54557174465482"
"8","ENSMUSG00000006574","-2.13162583886556"
"9","ENSMUSG00000012705","-2.22083662805662"
"10","ENSMUSG00000013083","-2.37258073799097"
"11","ENSMUSG00000017344","-3.02243621180285"
"12","ENSMUSG00000019767","-2.01845771037286"
"13","ENSMUSG00000021135","-2.08882743386542"
"14","ENSMUSG00000021210","-4.35825266504982"
"15","ENSMUSG00000022304","-2.57866887615519"
"16","ENSMUSG00000022619","-2.07311806846758"
"17","ENSMUSG00000022868","-8.47877437119029"
"18","ENSMUSG00000022877","-6.38479485125153"
"19","ENSMUSG00000023078","-2.63842879546583"
"20","ENSMUSG00000024254","-2.00888789484077"
"21","ENSMUSG00000024292","-5.05825773955932"
"22","ENSMUSG00000024863","-2.93364771732576"
"23","ENSMUSG00000025991","-7.01081344804563"
"24","ENSMUSG00000026220","-2.01711037183964"
"25","ENSMUSG00000026272","-3.31688702924631"
"26","ENSMUSG00000026415","-2.0218743711974"
"27","ENSMUSG00000026715","-2.84195094917353"
"28","ENSMUSG00000027048","-3.73155678299271"
"29","ENSMUSG00000027249","-6.9919674319126"
"30","ENSMUSG00000028017","-2.2078373242548"
"31","ENSMUSG00000028794","-2.21798794650821"
"32","ENSMUSG00000029368","-8.71567940277845"
"33","ENSMUSG00000029445","-2.06870059834409"
"34","ENSMUSG00000030236","-5.49752933582733"
"35","ENSMUSG00000030359","-5.80558929357079"
"36","ENSMUSG00000030382","-3.58569066357399"
"37","ENSMUSG00000030785","-3.46073592865567"
"38","ENSMUSG00000030804","-4.12990184194169"
"39","ENSMUSG00000030895","-4.01778188736786"
"40","ENSMUSG00000031445","-2.03252738486845"
"41","ENSMUSG00000031489","-2.26954569004499"
"42","ENSMUSG00000032080","-2.04220571041254"
"43","ENSMUSG00000032081","-2.51523628296116"
"44","ENSMUSG00000032083","-4.6014729145087"
"45","ENSMUSG00000032310","-6.66698018114744"
"46","ENSMUSG00000033208","-2.117995130462"
"47","ENSMUSG00000033688","-3.47759035648639"
"48","ENSMUSG00000034785","-2.20518280205586"
"49","ENSMUSG00000035031","-2.66326099091487"
"50","ENSMUSG00000035699","-2.23774872861764"
"51","ENSMUSG00000035745","-2.1529722720727"
"52","ENSMUSG00000037053","-4.19003503612187"
"53","ENSMUSG00000037583","-2.28132180624538"
"54","ENSMUSG00000037653","-2.13543049738404"
"55","ENSMUSG00000037798","-4.16608497970823"
"56","ENSMUSG00000037942","-3.60803349859966"
"57","ENSMUSG00000038704","-2.26767442118188"
"58","ENSMUSG00000038782","-2.00860157179028"
"59","ENSMUSG00000039315","-2.05253871747908"
"60","ENSMUSG00000040134","-2.05156446433692"
"61","ENSMUSG00000040485","-2.39166847944522"
"62","ENSMUSG00000040505","-2.10700759768694"
"63","ENSMUSG00000040752","-2.3977125619181"
"64","ENSMUSG00000042662","-2.39607973627132"
"65","ENSMUSG00000046101","-3.2462885290932"
"66","ENSMUSG00000047511","-2.25667309451424"
"67","ENSMUSG00000047586","-2.06728922036825"
"68","ENSMUSG00000047631","-5.26115310339779"
"69","ENSMUSG00000049409","-2.08849943204341"
"70","ENSMUSG00000052396","-2.1098150729153"
"71","ENSMUSG00000052565","-3.16417466780298"
"72","ENSMUSG00000053168","-2.90824091699166"
"73","ENSMUSG00000054422","-3.13654992466817"
"74","ENSMUSG00000054827","-6.91679067072739"
"75","ENSMUSG00000054999","-2.33807049316582"
"76","ENSMUSG00000056973","-2.12129522035849"
"77","ENSMUSG00000057103","-2.31316546566196"
"78","ENSMUSG00000057400","-8.27218798122681"
"79","ENSMUSG00000058207","-10.619871892453"
"80","ENSMUSG00000059461","-2.66208147181559"
"81","ENSMUSG00000059481","-6.31439325930589"
"82","ENSMUSG00000059908","-8.5073821397561"
"83","ENSMUSG00000061462","-3.28329310682348"
"84","ENSMUSG00000061718","-2.17029262135919"
"85","ENSMUSG00000061906","-7.87782796782811"
"86","ENSMUSG00000063177","-2.02355532750677"
"87","ENSMUSG00000063903","-2.24324283515479"
"88","ENSMUSG00000066516","-2.05460421023785"
"89","ENSMUSG00000067144","-2.3991739091605"
"90","ENSMUSG00000069922","-4.3817929500124"
"91","ENSMUSG00000070495","-2.36139371709312"
"92","ENSMUSG00000070690","-2.57552314376069"
"93","ENSMUSG00000070704","-5.83476502166049"
"94","ENSMUSG00000072476","-5.89078225307956"
"95","ENSMUSG00000074280","-6.97394793870239"
"96","ENSMUSG00000074768","-3.96569994184105"
"97","ENSMUSG00000078486","-2.75807949106571"
"98","ENSMUSG00000078531","-2.25940249154021"
"99","ENSMUSG00000078735","-5.84367304659667"
"100","ENSMUSG00000078798","-6.60406725591331"
"101","ENSMUSG00000079015","-4.94833506867935"
"102","ENSMUSG00000079492","-2.64730564146919"
"103","ENSMUSG00000083116","-3.82473647529912"
"104","ENSMUSG00000083241","-3.81421390291377"
"105","ENSMUSG00000084174","-4.15464271426032"
"106","ENSMUSG00000084854","-7.17434568415535"
"107","ENSMUSG00000085083","-2.40356624830693"
"108","ENSMUSG00000085251","-2.49376226823918"
"109","ENSMUSG00000085781","-2.74881552177337"
"110","ENSMUSG00000086810","-2.34076662163797"
"111","ENSMUSG00000087171","-2.13346711600916"
"112","ENSMUSG00000087505","-2.38893222954439"
"113","ENSMUSG00000089661","-2.02873409148212"
"114","ENSMUSG00000089694","-6.57643216282788"
"115","ENSMUSG00000089714","-8.46816889714766"
"116","ENSMUSG00000089900","-2.19029655736718"
"117","ENSMUSG00000091405","-2.18636633608517"
"118","ENSMUSG00000091972","-2.09316887997805"
"119","ENSMUSG00000091996","-2.16108456179427"
"120","ENSMUSG00000092470","-2.03871516497861"
"121","ENSMUSG00000092701","-2.31408823086075"
"122","ENSMUSG00000093485","-3.33453516440982"
"123","ENSMUSG00000094806","-4.51958205112556"
"124","ENSMUSG00000095300","-2.84152994938296"
"125","ENSMUSG00000095975","-5.0969910033089"
"126","ENSMUSG00000097767","-2.84245825597278"
"127","ENSMUSG00000098046","-2.109154831017"
"128","ENSMUSG00000098566","-5.9937272958941"
"129","ENSMUSG00000099583","-2.42639178598436"
"130","ENSMUSG00000099696","-4.14090695674181"
"131","ENSMUSG00000103953","-7.62618450954738"
"132","ENSMUSG00000104340","-2.07731460639118"
"133","ENSMUSG00000107640","-2.00823403205611"
"134","ENSMUSG00000108604","-5.48551788122192"
"135","ENSMUSG00000108714","-3.19505403735302"
"136","ENSMUSG00000108975","-4.80524659349689"
"137","ENSMUSG00000109875","-2.06884378351229"
"138","ENSMUSG00000111803","-3.25439399210082"
"139","ENSMUSG00000112289","-2.41942115203648"
"140","ENSMUSG00000114604","-2.69520323588358"
"141","ENSMUSG00000115200","-2.33075146583217"
"142","ENSMUSG00000116287","-2.28963125019381"
"143","ENSMUSG00000116643","-2.06082802466225"
"144","ENSMUSG00000116876","-7.09533023017087"
