"","Mouse.gene.stable.ID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSMUSG00000000154",6994.73683970564,-2.26953549870785,0.131437334207002,1.976239823232e-67,4.8835814513057e-66
"2","ENSMUSG00000000673",2148.64658724375,-2.76265173802974,0.226912536902299,4.55067124476409e-35,3.81205763853641e-34
"3","ENSMUSG00000001095",2267.36425899507,-2.16937550016051,0.175975732480578,1.14927222550482e-35,9.83344339464386e-35
"4","ENSMUSG00000001155",75.571975597114,-2.56086446297136,0.242486127408896,6.08801931139173e-27,3.72998574890888e-26
"5","ENSMUSG00000001467",5965.47442552051,-2.01994657150497,0.146026954785751,2.98874711902614e-44,3.46499268895936e-43
"6","ENSMUSG00000002032",1916.72622702626,-2.25946962729502,0.131020112674043,1.78584498210739e-67,4.42176622364268e-66
"7","ENSMUSG00000002346",3764.650953168,-2.80506628121678,0.178449143279636,2.22521448206312e-56,3.91840041068752e-55
"8","ENSMUSG00000002769",294.212518864704,-2.06439474983494,0.166453167462784,5.28379533937354e-36,4.55967273614685e-35
"9","ENSMUSG00000003410",17.5353578608906,-2.42877995072303,0.275911119367732,2.20592382239499e-19,9.97438817951667e-19
"10","ENSMUSG00000003477",2674.10933175814,-2.49405184079073,0.481362069681381,2.37075367734608e-08,6.09722687664708e-08
"11","ENSMUSG00000003526",5739.83495534593,-2.07720611367472,0.127861886361372,8.91137827634645e-60,1.76413063189214e-58
"12","ENSMUSG00000003555",16.0743602381481,-2.18025549884572,0.39211204677191,4.59358427705245e-09,1.2334297897255e-08
"13","ENSMUSG00000003809",9146.49388456789,-2.06473702822755,0.123127404611369,1.4827552070963e-63,3.24671816259929e-62
"14","ENSMUSG00000003949",4402.08210813444,-2.11925890218058,0.160470044406964,1.14942811465262e-40,1.16380174326769e-39
"15","ENSMUSG00000004110",26.138636566827,-2.15246586601281,0.218970720658292,1.92492345678494e-23,1.02088242555395e-22
"16","ENSMUSG00000004187",609.492807956989,-2.09584293827813,0.11416203469155,5.19873182444902e-76,1.64458876974184e-74
"17","ENSMUSG00000004341",1765.87534237799,-2.44303022526357,0.177673282016495,6.53210168615024e-44,7.4902027576935e-43
"18","ENSMUSG00000004668",5923.06818860853,-2.30374434588029,0.23781466728418,3.87093306349478e-23,2.03282514018482e-22
"19","ENSMUSG00000005202",3.74305579903515,-3.42136877968017,0.69905806913771,1.57966596632911e-07,3.84287206049012e-07
"20","ENSMUSG00000005220",447.076099087942,-3.60549816973403,0.321202711119871,2.34476583016564e-30,1.63918790586899e-29
"21","ENSMUSG00000005232",15.6858300867653,-2.02183726276208,0.261734658196408,1.75959792622539e-15,6.62902982948557e-15
"22","ENSMUSG00000005268",11362.3399888773,-2.84378962742887,0.291591578107119,1.78209311237516e-23,9.4692734042454e-23
"23","ENSMUSG00000005373",4037.86610896066,-2.55412350952354,0.170989515918395,2.26630176011328e-51,3.33729500710015e-50
"24","ENSMUSG00000005547",1056.82849673029,-2.07467082566847,0.307819104962122,2.53545523292304e-12,8.16331648385566e-12
"25","ENSMUSG00000005640",1401.98022775232,-2.54975568695306,0.158035604282512,1.86472519962455e-59,3.66554607741966e-58
"26","ENSMUSG00000005677",47.398635973507,-2.85290723658583,0.267416007807479,1.59486508135107e-27,1.00100442705636e-26
"27","ENSMUSG00000005716",435.342909007401,-7.39822039555536,1.20531325080217,8.48314342667108e-05,0.000167435361833363
"28","ENSMUSG00000005883",5.35479065768103,-2.04802059394027,0.519165631471389,1.42732735965345e-05,3.01093492866161e-05
"29","ENSMUSG00000005980",20578.2226755286,-4.8447118192688,0.376975417123806,4.80753328936222e-39,4.62231751658764e-38
