"","Genes","PrecysticP70","CysticP21","CysticP28","Direction"
"1","Akr1b8",0.649465068066459,1.70025305072692,3.13478856386127,"aki_up"
"2","Apobec3",0.790713139302366,1.78308014500248,2.10474394202691,"aki_up"
"3","Bcl3",0.571785733451708,1.9152509707846,3.4833181870355,"aki_up"
"4","Cd14",-0.571430449631023,2.96038418679976,4.18987525857744,"aki_up"
"5","Cd44",1.55657689669353,2.37283845536216,4.10777681792868,"aki_up"
"6","Cebpd",-1.24825941081435,0.296624478327734,1.06266974610683,"aki_up"
"7","Chrnb1",0.209612553173977,2.03649101628404,2.39278817258419,"aki_up"
"8","Efhd2",0.154858698578507,1.13788364109424,2.57291688630834,"aki_up"
"9","Elf4",0.15942213425798,1.10921815289972,2.17405284913642,"aki_up"
"10","F3",0.486391032878569,1.97684108539256,2.39246238677247,"aki_up"
"11","Gas7",0.213557124367409,0.514740866962203,1.5816490986353,"aki_up"
"12","Igf2bp2",0.438524542070254,0.43948978363434,0.749433029226088,"aki_up"
"13","Mthfd1l",1.06888854388787,0.975624396508198,1.59037533119243,"aki_up"
"14","Oasl1",0.587619666103843,0.514328794551878,2.04844781510799,"aki_up"
"15","Pdgfb",0.667431839764814,0.684923028259608,1.70698204710799,"aki_up"
"16","Ppm1j",0.4732747394535,1.16355527556279,1.68995506288433,"aki_up"
"17","Qsox1",-0.386059846404128,0.2315771536691,0.985969911691791,"aki_up"
"18","Rap2b",0.161829655615954,0.827038072619454,1.85518226759644,"aki_up"
"19","Rbm3",0.179361898802351,0.883338044204697,0.477004935793727,"aki_up"
"20","Rras2",0.410075788431029,0.643532784182898,1.14392474986381,"aki_up"
"21","Samd4",0.803786234771895,1.26742371692657,1.80869519010916,"aki_up"
"22","Sbno2",0.246409223505075,0.779895917343875,1.60811004017786,"aki_up"
"23","Socs3",1.09763876381641,2.87725397590969,4.84348575941297,"aki_up"
"24","Sprr1a",0.208298663399263,0.383337871751841,1.85761258116945,"aki_up"
"25","Spry2",0.261580778626324,0.24284328040233,0.560272737058546,"aki_up"
"26","Stil",1.44268539135233,1.68142783790539,0.948550688631548,"aki_up"
"27","Tgfbr1",0.15353194398132,0.816464181699118,0.859000622505051,"aki_up"
"28","Tnc",0.178920828061146,1.37849680492068,2.44392484968583,"aki_up"
"29","Tnfrsf12a",0.786773258817603,1.30139655501931,3.00959023659826,"aki_up"
"30","Tpm3",0.15195925806093,0.544622650362332,1.34368525115839,"aki_up"
"31","Tubb6",0.680701428933563,1.2871258389334,2.68523127066121,"aki_up"
"32","Aldh4a1",0.392584505599905,-1.54394231435782,-1.98962291057778,"aki_down"
"33","Atp6v1b1",-0.339725850845495,-0.404320180484501,-0.655936940119059,"aki_down"
"34","Bsnd",-0.469010678003705,-1.19932272032502,-1.24943925335922,"aki_down"
"35","Casr",-0.618884956550964,-0.530579558751082,-0.747658000942926,"aki_down"
"36","Cubn",-0.283338684675251,-0.841150959943144,-2.07639043910466,"aki_down"
"37","Fras1",0.17465487389117,1.74886864175849,2.36970473833536,"aki_down"
"38","Hgd",-0.340811643383531,-1.01005152804038,-2.28906342902137,"aki_down"
"39","Hsd3b2",0.22924714369688,-1.8400233793964,-3.06290858154858,"aki_down"
"40","Inpp5j",-0.583375594643916,-1.40845681890771,-1.73887176268321,"aki_down"
"41","Kcnj1",-0.433347518833841,-0.569501405769346,-0.563760733077802,"aki_down"
"42","Klhl3",-0.272036903635592,-1.02227529114964,-2.29796179639281,"aki_down"
"43","Kmo",0.156157361618927,-1.03757274718504,-2.32632784239613,"aki_down"
"44","Lyplal1",-0.395280313536393,-0.611493488476612,-1.54121365092946,"aki_down"
"45","Pde4c",-0.333107360227874,-1.55440862568941,-2.72950231881146,"aki_down"
"46","Pfkm",-0.334021700638545,-0.632571409382791,-0.76153780128883,"aki_down"
"47","Pnkd",-0.345132839198947,-0.726562161678747,-0.815328641222481,"aki_down"
"48","Rhcg",-0.46770330085297,0.580264302521607,0.829180052419489,"aki_down"
"49","Slc15a2",-0.501348367082093,-0.8078050838458,-1.87961916721062,"aki_down"
"50","Slc22a13",-0.346099822965498,-0.967243153857243,-2.24132592871564,"aki_down"
"51","Slc22a26",-1.14283745674472,0.259522849094146,-1.357860983982,"aki_down"
"52","Slc23a1",-0.183321129780821,-0.875655837332475,-2.32195599054602,"aki_down"
"53","Slc25a21",0.256731366863082,-1.02754432861553,-1.89906362134903,"aki_down"
"54","Slc8a1",-0.783006057946176,-0.814899169496405,-1.20358575143525,"aki_down"
"55","Slco4c1",0.327681633846681,-0.577659480048938,-2.18317532377882,"aki_down"
"56","Tmem207",-1.04842689896293,-2.01724057693156,-3.37791993800968,"aki_down"
"57","Tmem25",0.399109851217268,-1.08139257438063,-2.25946962729502,"aki_down"
