"","X","entrezgene_id","ensembl_gene_id","mouse_ensembl_gene_id","LFC"
"1",1,7476,"ENSG00000154764","ENSMUSG00000030093",11.5325971747438
"2",2,4316,"ENSG00000137673","ENSMUSG00000018623",9.56718188978062
"3",3,26762,"ENSG00000113249","ENSMUSG00000040405",9.43816961192223
"4",4,3872,"ENSG00000128422","ENSMUSG00000035557",8.92259740842628
"5",5,27179,"ENSG00000136694","ENSMUSG00000026984",8.44501601842739
"6",6,629,"ENSG00000243649","ENSMUSG00000092511",8.43668960141246
"7",7,3934,"ENSG00000148346","ENSMUSG00000026822",8.24858599352263
"8",8,6372,"ENSG00000124875","ENSMUSG00000029371",8.15504940042172
"9",9,6364,"ENSG00000115009","ENSMUSG00000026166",7.73282973291799
"10",10,4606,"ENSG00000086967","ENSMUSG00000038670",7.49861542583237
"11",11,7076,"ENSG00000102265","ENSMUSG00000001131",7.48393650286581
"12",12,944,"ENSG00000106952","ENSMUSG00000028362",7.03371155932772
"13",13,8973,"ENSG00000147434","ENSMUSG00000031491",6.69461533177619
"14",14,23114,"ENSG00000163531","ENSMUSG00000026442",6.67772732804175
"15",15,6355,"ENSG00000108700","ENSMUSG00000009185",6.64241147947677
"16",16,12,"ENSG00000196136","ENSMUSG00000079012",6.54222979404594
"17",17,54210,"ENSG00000124731","ENSMUSG00000042265",6.50014394216164
"18",18,3868,"ENSG00000186832","ENSMUSG00000053797",6.47386468456705
"19",19,8839,"ENSG00000064205","ENSMUSG00000027656",6.46094360601843
"20",20,3036,"ENSG00000105509","ENSMUSG00000003665",6.44851922096178
"21",21,1412,"ENSG00000163499","ENSMUSG00000006546",6.39990804382458
"22",22,10457,"ENSG00000136235","ENSMUSG00000029816",6.26594597421409
"23",23,12,"ENSG00000196136","ENSMUSG00000021091",6.24541946390405
"24",24,1834,"ENSG00000152591","ENSMUSG00000053268",6.17580418613197
"25",25,7425,"ENSG00000128564","ENSMUSG00000037428",6.16798306707544
"26",26,3976,"ENSG00000128342","ENSMUSG00000034394",6.11561929308782
"27",27,3851,"ENSG00000170477","ENSMUSG00000059668",6.11161530636461
"28",28,3037,"ENSG00000170961","ENSMUSG00000022367",6.06922874203878
"29",29,6441,"ENSG00000133661","ENSMUSG00000021795",6.06541588468123
"30",30,4053,"ENSG00000119681","ENSMUSG00000002020",6.05665986945111
"31",31,3569,"ENSG00000136244","ENSMUSG00000025746",5.9738206836666
"32",32,4241,"ENSG00000163975","ENSMUSG00000022780",5.91621999457463
"33",33,3557,"ENSG00000136689","ENSMUSG00000026981",5.88723237566219
"34",34,11009,"ENSG00000162892","ENSMUSG00000026420",5.8579861622974
"35",35,383,"ENSG00000118520","ENSMUSG00000019987",5.83867455964701
"36",36,55203,"ENSG00000153012","ENSMUSG00000039252",5.77692560057446
"37",37,1440,"ENSG00000108342","ENSMUSG00000038067",5.75652237322642
"38",38,4973,"ENSG00000173391","ENSMUSG00000030162",5.74550910054226
"39",39,1959,"ENSG00000122877","ENSMUSG00000037868",5.72797051764381
"40",40,2523,"ENSG00000174951","ENSMUSG00000008461",5.70764466395312
