"","Mouse.gene.stable.ID","UpLFC"
"1","ENSMUSG00000000982","3.71952029873987"
"2","ENSMUSG00000000983","2.26945034181535"
"3","ENSMUSG00000001021","2.33116986058767"
"4","ENSMUSG00000001403","2.77238654409486"
"5","ENSMUSG00000002020","2.95304677605029"
"6","ENSMUSG00000003779","2.04429373029003"
"7","ENSMUSG00000004296","2.49661063555229"
"8","ENSMUSG00000004359","2.08257600389995"
"9","ENSMUSG00000004814","2.06279497516905"
"10","ENSMUSG00000005800","2.91653308604461"
"11","ENSMUSG00000006398","2.22015809757977"
"12","ENSMUSG00000008193","2.48568816609011"
"13","ENSMUSG00000010435","3.95801045578354"
"14","ENSMUSG00000014453","2.30667995586888"
"15","ENSMUSG00000015880","2.383922743016"
"16","ENSMUSG00000016255","2.35364467911756"
"17","ENSMUSG00000016529","2.62711604390556"
"18","ENSMUSG00000017195","2.34273479669889"
"19","ENSMUSG00000018543","2.56375969625373"
"20","ENSMUSG00000018623","2.14490444837148"
"21","ENSMUSG00000019942","2.51153706275827"
"22","ENSMUSG00000020310","3.28267893975387"
"23","ENSMUSG00000020330","2.71499748732913"
"24","ENSMUSG00000020583","2.33117874696259"
"25","ENSMUSG00000020897","2.09467286395466"
"26","ENSMUSG00000020912","2.72659804938163"
"27","ENSMUSG00000020914","2.43491045616963"
"28","ENSMUSG00000021056","3.32416118199232"
"29","ENSMUSG00000021091","2.56104186264588"
"30","ENSMUSG00000021208","3.27844026421875"
"31","ENSMUSG00000021250","2.45390341298236"
"32","ENSMUSG00000021403","3.0586295583663"
"33","ENSMUSG00000021485","2.22075441122056"
"34","ENSMUSG00000021553","2.34979736669317"
"35","ENSMUSG00000022021","2.15401721368271"
"36","ENSMUSG00000022025","3.863339876579"
"37","ENSMUSG00000022033","2.32766017196068"
"38","ENSMUSG00000022034","2.42696328049428"
"39","ENSMUSG00000022126","3.47064354315741"
"40","ENSMUSG00000022367","2.00468268068816"
"41","ENSMUSG00000022596","2.0901249338478"
"42","ENSMUSG00000022818","3.07837827247774"
"43","ENSMUSG00000022842","4.0521418074503"
"44","ENSMUSG00000023159","2.30462430593334"
"45","ENSMUSG00000023403","2.30711845564059"
"46","ENSMUSG00000023473","3.21254852397416"
"47","ENSMUSG00000024658","2.31517517935077"
"48","ENSMUSG00000024912","2.27678528116958"
"49","ENSMUSG00000024989","2.47404127216212"
"50","ENSMUSG00000025002","3.03637832515883"
"51","ENSMUSG00000025064","2.42864004835022"
"52","ENSMUSG00000025196","2.13648834043759"
"53","ENSMUSG00000025355","2.28834756944715"
"54","ENSMUSG00000025467","3.07874571770819"
"55","ENSMUSG00000025480","2.06397963222865"
"56","ENSMUSG00000025938","2.39045553937629"
"57","ENSMUSG00000026039","2.18794872404266"
"58","ENSMUSG00000026166","2.55174872584116"
"59","ENSMUSG00000026605","2.82117004955551"
"60","ENSMUSG00000026955","2.43897511435636"
"61","ENSMUSG00000026981","2.64814074687362"
"62","ENSMUSG00000026984","3.3282944719851"
"63","ENSMUSG00000027022","2.56750346813875"
"64","ENSMUSG00000027073","2.35701872160641"
"65","ENSMUSG00000027326","2.21182793135462"
"66","ENSMUSG00000027331","2.18540684338133"
"67","ENSMUSG00000027379","2.25804946498292"
"68","ENSMUSG00000027469","2.53026648678819"
"69","ENSMUSG00000027496","2.11879546953044"
"70","ENSMUSG00000027670","4.29340154797426"
"71","ENSMUSG00000027715","2.19667405694778"
"72","ENSMUSG00000027793","2.29649238635155"
"73","ENSMUSG00000028068","2.6178650537163"
"74","ENSMUSG00000028175","2.42940625908584"
