"","Mouse.gene.stable.ID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSMUSG00000000223",15.5824561261945,2.03656181573,0.733460078640388,0.000299749985862695,0.00297550241423944
"2","ENSMUSG00000001131",345.760337400663,5.11880581878133,0.576666941689631,4.80742656443691e-20,1.65716646024429e-17
"3","ENSMUSG00000001506",10504.7264831662,2.22773653399458,0.376486794090037,2.64533301158648e-10,1.39595202774386e-08
"4","ENSMUSG00000002020",290.98713036577,2.69884675177804,1.26177683619686,0.00117372374285112,0.00916507995331167
"5","ENSMUSG00000002057",8.2291408997284,3.94386101302062,1.19389235261548,8.62804725571837e-05,0.00104653022672652
"6","ENSMUSG00000002384",14.7945467741171,2.22849670459465,0.741556271206619,0.000149302954852419,0.00167173601697302
"7","ENSMUSG00000002699",101.234580779472,2.31070001437055,0.489889010141979,1.51391249949076e-07,4.22776170692243e-06
"8","ENSMUSG00000003283",79.378221832144,2.23978339738971,0.335705619949692,1.70124765718492e-12,1.49930508513859e-10
"9","ENSMUSG00000003545",57.5827725265141,2.16093062018503,0.648530373454801,5.3298688278986e-05,0.000692882947626818
"10","ENSMUSG00000004609",168.927827129159,2.20339822407085,0.253899959597538,3.07702643516893e-19,9.13364013505976e-17
"11","ENSMUSG00000004730",391.896295427391,2.15767229798284,0.304224354010402,9.96405401026425e-14,1.04902345964221e-11
"12","ENSMUSG00000005087",347.380864220004,2.37283845536216,0.478204690792051,4.74417957015741e-08,1.51558454070858e-06
"13","ENSMUSG00000005357",8.4198491615742,2.5670489334608,0.890776464566184,0.000235729002363929,0.00243970955860624
"14","ENSMUSG00000006435",182.910573970032,2.38527971784784,0.315261504517156,2.70765868449496e-15,3.85787209366842e-13
"15","ENSMUSG00000007888",140.862374216815,2.70520906984988,0.464191779256777,3.78310615787307e-10,1.9159370807124e-08
"16","ENSMUSG00000008461",9.73117897687611,2.68245224783949,1.36224787036665,0.0018903396373158,0.0134802598360739
