"","Mouse.gene.stable.ID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSMUSG00000000982",40.8201248352247,3.03352229911209,1.18060071414809,0.000263138005354926,0.00679512905519656
"2","ENSMUSG00000001228",197.089165660026,1.23034396143697,0.310962264275101,3.33183487191117e-06,0.000187671799176744
"3","ENSMUSG00000001403",71.1544374229336,2.68910122924554,0.335094652710982,6.31857235643768e-17,2.89407241746836e-14
"4","ENSMUSG00000001517",163.553085315762,1.67922170432208,0.351558760138348,7.91487062537458e-08,7.61095708478699e-06
"5","ENSMUSG00000002020",51.0329650181486,2.48674599205025,0.849796733201021,0.000106575541659634,0.00333623615573009
"6","ENSMUSG00000002699",78.7425813612039,1.12441127239876,0.348115127145222,5.10154504200451e-05,0.00184599566436774
"7","ENSMUSG00000003779",148.260493856516,1.95782023166509,0.294890910212182,1.56561053334267e-12,3.83795089194778e-10
"8","ENSMUSG00000005087",209.023704806271,1.55657689669353,0.429503683663771,1.12925427256145e-05,0.000522730601434361
"9","ENSMUSG00000005364",395.422770229175,1.34090134079027,0.474516560929556,0.000162015745334732,0.00465327400585977
"10","ENSMUSG00000005470",35.4308174111423,1.28601294377768,0.518062442106229,0.000437627620656336,0.0102653756570398
"11","ENSMUSG00000006398",128.582178991834,2.09692965653719,0.367562002041462,5.49331998808463e-10,9.75624840740949e-08
"12","ENSMUSG00000008193",16.0409700621763,1.72512129611678,1.08673778710875,0.00236540814882011,0.0368575907163957
"13","ENSMUSG00000012443",139.793701530747,1.88706952151121,0.236942621163036,8.92751905348372e-17,3.98419151604831e-14
"14","ENSMUSG00000014599",564.42266917465,1.11304687399633,0.38745501650063,0.000151383496891253,0.00445072595167612
"15","ENSMUSG00000015090",770.840265485607,1.10545971459154,0.400108759332183,0.000202585528306513,0.00553539225012207
"16","ENSMUSG00000015880",52.4808034419006,2.24215259734667,0.410789190271429,2.37022695974295e-09,3.61875440651982e-07
"17","ENSMUSG00000017146",75.0464168876604,1.14750820999695,0.391359316914734,0.000129649227689904,0.0039108228907154
"18","ENSMUSG00000017716",90.4742215478236,1.71802067705571,0.296176675909221,3.22577352754393e-10,5.97282853690448e-08
"19","ENSMUSG00000019942",96.97853865067,2.43876687445105,0.297223261641504,1.32211294560512e-17,7.19105494320536e-15
"20","ENSMUSG00000020330",125.5698167478,2.625935409753,0.339796825357587,5.94025492739824e-16,2.34977584116742e-13
"21","ENSMUSG00000020493",35.8041036469619,1.3341525729377,0.46875166772878,0.000166158416871688,0.00472546935564007
"22","ENSMUSG00000020649",315.83105093985,1.3970014827893,0.16350560524131,6.98914798681662e-19,4.86584482842173e-16
"23","ENSMUSG00000020897",51.2510043531404,1.84851472099081,0.51113998873116,1.19817882927536e-05,0.000551701124961314
"24","ENSMUSG00000020914",371.978605982136,2.40119774032716,0.193376690223589,1.16678623976009e-36,2.9011306432892e-33
"25","ENSMUSG00000021056",58.3210019127931,3.0780784756874,0.643468197377353,7.4277996119477e-08,7.30062105964203e-06
"26","ENSMUSG00000021091",116.270569649422,2.20554182225029,0.687076811677008,4.45424336631988e-05,0.00165172767616707
"27","ENSMUSG00000021485",28.527943320018,1.9384014551258,0.566015346460756,2.55856674500305e-05,0.00103803855936546
"28","ENSMUSG00000021965",21.3877934022801,1.42379458446986,0.791892013071989,0.00178308260526693,0.0301599152037618
"29","ENSMUSG00000022021",44.709035997679,1.99009927763166,0.419040584524476,9.83895720761002e-08,9.0606904866906e-06
"30","ENSMUSG00000022033",90.6097205527611,2.21555578056667,0.358122832120262,3.14599568960412e-11,6.59711505753732e-09
"31","ENSMUSG00000022034",61.048004620691,2.32151837067887,0.351246554270952,2.18593799845335e-12,5.08479358033453e-10
"32","ENSMUSG00000022322",48.0920086458699,1.11883588921689,0.453272018065568,0.000469780445743785,0.0108012267611236
"33","ENSMUSG00000022385",47.7157454726792,1.19371677809348,0.418038449203905,0.000163407421388186,0.00467698397156857
"34","ENSMUSG00000023015",133.91939825865,1.43050637332634,0.294596528173952,5.63911367713578e-08,5.77345726767931e-06
"35","ENSMUSG00000023274",43.9382085364339,1.3675028818763,0.731450143327524,0.00150078333909374,0.0265999328074609
"36","ENSMUSG00000023505",139.053872600411,1.45126338867677,0.32075773290032,2.73343889393946e-07,2.21281413716355e-05
"37","ENSMUSG00000023940",28.4067100363374,1.20998384711372,0.804686948005599,0.00279369991077622,0.0418453932418761
"38","ENSMUSG00000024056",32.1140274934087,1.56352651909388,0.50710210454496,7.88947664212492e-05,0.00263563034464845
"39","ENSMUSG00000024672",48.5654087586964,1.17870271590531,0.650904468742156,0.00174889466258,0.0296681399631627
"40","ENSMUSG00000024791",29.0799017765168,1.51402072476463,0.526398500944568,0.000150850670706533,0.00445009478584273
"41","ENSMUSG00000024989",32.0424258914969,2.27201764652768,0.499201547252159,2.67416988797871e-07,2.17494985515278e-05
"42","ENSMUSG00000025355",79.6899363583895,1.46439854773326,1.22039632214662,0.00321573688226509,0.0462561160626644
"43","ENSMUSG00000026039",52.5994459149531,2.03599850195324,0.407125325809065,2.70756016745945e-08,2.98260029839441e-06
"44","ENSMUSG00000026429",23.8017124365453,1.63595927477136,0.570534831499647,0.00015746399942768,0.00457539383979763
"45","ENSMUSG00000026475",30.2848613291075,1.45827985183978,0.633015379167611,0.000635919150147033,0.0136813013699742
"46","ENSMUSG00000026605",175.704625785824,2.75187572333694,0.303027685407606,6.07359053442562e-21,5.2855421625839e-18
"47","ENSMUSG00000026683",52.3447269660085,1.74140171218785,0.378227978926687,1.98319072678983e-07,1.66750891786362e-05
"48","ENSMUSG00000026981",17.9191295588985,2.00018260232909,0.981928475075384,0.00108748073036386,0.0205511423582878
"49","ENSMUSG00000027326",81.2708693391148,2.10375358336772,0.344049756230468,4.95899396613188e-11,1.01542694094736e-08
"50","ENSMUSG00000027331",87.1609580036049,2.09627574033103,0.309312811897236,6.44448525822054e-13,1.72563486029736e-10
"51","ENSMUSG00000027379",32.2973550810569,1.98267808989817,0.561939506989801,1.71656538419536e-05,0.000741360310469485
"52","ENSMUSG00000027469",127.902537049104,2.44168764556542,0.33141131998188,8.79479661135735e-15,2.88817801925801e-12
"53","ENSMUSG00000027496",57.0020105425144,1.97628361436336,0.387600792654886,1.64638869396444e-08,1.92318088714437e-06
"54","ENSMUSG00000027715",193.057925396066,2.13324387088856,0.259680886459441,1.09208317922951e-17,6.33590257816319e-15
"55","ENSMUSG00000028068",84.3869901245078,2.53854357314091,0.316217909434486,6.00266498318799e-17,2.82368605492938e-14
"56","ENSMUSG00000028175",31.0255237741863,2.16610817674803,0.567241770984458,5.91750797106592e-06,0.000304716645669829
"57","ENSMUSG00000028678",37.5578644346587,2.53896040307804,0.455775929606876,1.63832388714477e-09,2.59227520506862e-07
"58","ENSMUSG00000028718",31.5268236245266,1.44268539135233,0.544623774243006,0.000280642652729272,0.00714736868179335
"59","ENSMUSG00000028874",68.6395638920285,1.16247486927017,0.364672804734581,5.84303764155313e-05,0.00207124379126746
"60","ENSMUSG00000029177",123.637029806112,1.13242042600022,0.24404748048774,1.6919770913077e-07,1.45068282138968e-05
"61","ENSMUSG00000029414",75.1885551359578,1.42350732201956,0.360025483984418,3.30962400412429e-06,0.000187025992830465
"62","ENSMUSG00000029659",44.29733225536,1.74905729993978,0.743145453865896,0.000524775427557465,0.0117799305771804
"63","ENSMUSG00000030236",26.3017892517588,1.46288947183469,1.13205432185782,0.0031739936141405,0.0458451110822535
"64","ENSMUSG00000030346",31.096957718748,1.31196431998311,0.543527636285504,0.000520914441217277,0.0117289985114964
"65","ENSMUSG00000030677",60.8544542167365,1.85269017541795,0.414501752982866,3.52439035023355e-07,2.72631173536956e-05
"66","ENSMUSG00000030786",117.343738863331,1.18089833947856,0.429959654116779,0.000214971066716973,0.00578295427543881
"67","ENSMUSG00000030830",169.111008058837,1.221760003643,0.278725315865841,5.37242992337192e-07,3.9454490639784e-05
"68","ENSMUSG00000030867",68.3694786234887,1.53863927329977,0.368488896659679,1.33474392216117e-06,8.42901634252062e-05
"69","ENSMUSG00000031004",642.779604403555,2.71323714672462,0.170532973198195,3.18784137004525e-58,1.84947930152125e-54
"70","ENSMUSG00000031262",25.6987349882434,1.82888512771965,0.533144262036868,2.59901884812512e-05,0.00104712784841708
"71","ENSMUSG00000031506",37.277722053717,1.49192005623711,0.574710230572355,0.000315082204860535,0.00786801402524765
"72","ENSMUSG00000032218",98.5406530620865,2.68062807510016,0.327291771980861,1.53929944382031e-17,8.11863843020986e-15
"73","ENSMUSG00000032327",179.307737377298,1.23349021058768,0.379092445436977,4.46028157310268e-05,0.00165172767616707
"74","ENSMUSG00000032783",18.7294103869866,1.96616020486326,0.64626800314663,9.7304973649761e-05,0.00307926012068016
