"","Mouse.gene.stable.ID","DownLFC"
"61","ENSMUSG00000019718","-2.03105913185597"
"62","ENSMUSG00000019762","-2.2822437076428"
"63","ENSMUSG00000019767","-3.49693145080563"
"64","ENSMUSG00000019787","-4.28170788618548"
"65","ENSMUSG00000019894","-2.26551954883638"
"66","ENSMUSG00000020037","-2.20411315666083"
"67","ENSMUSG00000020051","-2.95114590433297"
"68","ENSMUSG00000020059","-2.74359580397092"
"69","ENSMUSG00000020062","-2.69667493833397"
"70","ENSMUSG00000020072","-2.57786307392044"
"71","ENSMUSG00000020102","-2.07967497623023"
"72","ENSMUSG00000020131","-2.28147435818333"
"73","ENSMUSG00000020226","-3.53325834747615"
"74","ENSMUSG00000020309","-2.21465015323322"
"75","ENSMUSG00000020317","-3.1961768013427"
"76","ENSMUSG00000020385","-2.14994105714179"
"77","ENSMUSG00000020401","-3.64123284422271"
"78","ENSMUSG00000020490","-4.11969756305705"
"79","ENSMUSG00000020690","-2.25335423142915"
"80","ENSMUSG00000020734","-2.42960305445897"
"81","ENSMUSG00000020774","-2.94483480542109"
"82","ENSMUSG00000020804","-2.53328425307972"
"83","ENSMUSG00000020953","-2.64233791189083"
"84","ENSMUSG00000020988","-2.41020208364345"
"85","ENSMUSG00000020992","-2.30038642906768"
"86","ENSMUSG00000021135","-5.09272352714452"
"87","ENSMUSG00000021207","-2.47753372862784"
"88","ENSMUSG00000021228","-2.76405294749361"
"89","ENSMUSG00000021238","-2.50391786183756"
"90","ENSMUSG00000021414","-2.28107615251046"
"91","ENSMUSG00000021416","-3.36470507523807"
"92","ENSMUSG00000021490","-2.82055411234674"
"93","ENSMUSG00000021565","-2.53290162463124"
"94","ENSMUSG00000021604","-2.71666393962975"
"95","ENSMUSG00000021613","-2.47362141001458"
"96","ENSMUSG00000021620","-2.55503868232518"
"97","ENSMUSG00000021751","-2.44542921924746"
"98","ENSMUSG00000022002","-2.24073886572649"
"99","ENSMUSG00000022039","-2.44010658312182"
"100","ENSMUSG00000022061","-2.20429726886315"
"101","ENSMUSG00000022101","-2.50161039903136"
"102","ENSMUSG00000022186","-2.01000747587558"
"103","ENSMUSG00000022215","-2.6864183586418"
"104","ENSMUSG00000022235","-2.24927008801205"
"105","ENSMUSG00000022304","-4.41718137875931"
"106","ENSMUSG00000022323","-2.49300687050154"
"107","ENSMUSG00000022366","-4.14394338327326"
"108","ENSMUSG00000022388","-2.93525861909"
"109","ENSMUSG00000022425","-2.10342086710872"
"110","ENSMUSG00000022445","-2.29110243005605"
"111","ENSMUSG00000022490","-2.32983590896085"
"112","ENSMUSG00000022613","-3.59918765304849"
"113","ENSMUSG00000022622","-3.42918001941602"
"114","ENSMUSG00000022658","-2.33588941524372"
"115","ENSMUSG00000022679","-3.19625226865466"
"116","ENSMUSG00000022762","-2.68894615922027"
"117","ENSMUSG00000022763","-2.0794036809007"
"118","ENSMUSG00000022821","-2.3113117383012"
"119","ENSMUSG00000022838","-2.40880356024021"
"120","ENSMUSG00000022853","-2.20854815496696"
"121","ENSMUSG00000022877","-3.66062369329417"
"122","ENSMUSG00000023019","-2.04149586551531"
"123","ENSMUSG00000023031","-2.13252356916722"
"124","ENSMUSG00000023084","-2.48923108931472"
"125","ENSMUSG00000023120","-2.50523175845435"
"126","ENSMUSG00000023151","-2.94590124827955"
"127","ENSMUSG00000023262","-2.74706714856038"
"128","ENSMUSG00000023267","-3.37593036402278"
"129","ENSMUSG00000023328","-2.60506478915356"
"130","ENSMUSG00000023737","-2.95881070251326"
"131","ENSMUSG00000023951","-2.15008742372331"
"132","ENSMUSG00000023968","-2.75631639239845"
"133","ENSMUSG00000024107","-3.0377176891974"
"134","ENSMUSG00000024128","-2.13343305500104"
"135","ENSMUSG00000024184","-2.7935792431132"
"136","ENSMUSG00000024223","-2.97254226295839"
"137","ENSMUSG00000024254","-3.7827784434765"
"138","ENSMUSG00000024292","-2.43552365327913"
"139","ENSMUSG00000024313","-2.89963303019645"
"140","ENSMUSG00000024353","-2.47885925448517"
"141","ENSMUSG00000024354","-2.35640640885071"
