"","Mouse.gene.stable.ID","LFC"
"128","ENSMUSG00000046650","-2.04575769981037"
"129","ENSMUSG00000046652","-2.59039332659646"
"130","ENSMUSG00000046774","-2.55609854902062"
"131","ENSMUSG00000046834","-2.06755630414833"
"132","ENSMUSG00000046958","-2.069163602088"
"133","ENSMUSG00000046971","-2.65991463040055"
"134","ENSMUSG00000046993","-2.6500974201325"
"135","ENSMUSG00000047293","-2.17435449377205"
"136","ENSMUSG00000047492","-2.05974623034422"
"137","ENSMUSG00000047807","-2.02185770236733"
"138","ENSMUSG00000047935","-2.05844509181215"
"139","ENSMUSG00000047965","-4.69978842742263"
"140","ENSMUSG00000047977","-2.55609567762634"
"141","ENSMUSG00000048004","-2.05509207941445"
"142","ENSMUSG00000048538","-4.71102874163495"
"143","ENSMUSG00000048747","-3.27678936443723"
"144","ENSMUSG00000049123","-5.22582737424427"
"145","ENSMUSG00000050345","-3.49913182781115"
"146","ENSMUSG00000050463","-2.30921907439894"
"147","ENSMUSG00000050587","-2.21092231014949"
"148","ENSMUSG00000050612","-2.04575769981037"
"149","ENSMUSG00000050625","-2.35372964351111"
"150","ENSMUSG00000050876","-3.04514011658665"
"151","ENSMUSG00000051029","-2.57369236077705"
"152","ENSMUSG00000051050","-2.02207204976174"
"153","ENSMUSG00000051182","-2.37121337489047"
"154","ENSMUSG00000051723","-3.07354222771592"
"155","ENSMUSG00000051920","-2.04575769981037"
"156","ENSMUSG00000052143","-2.82821145942143"
"157","ENSMUSG00000052187","-2.34224294908422"
"158","ENSMUSG00000052276","-2.04576454147028"
"159","ENSMUSG00000052414","-2.50339925341826"
"160","ENSMUSG00000052769","-3.24055209639404"
"161","ENSMUSG00000054459","-2.07228753107683"
"162","ENSMUSG00000054885","-2.87363240140083"
"163","ENSMUSG00000054890","-2.55611023517136"
"164","ENSMUSG00000054909","-2.36228125671043"
"165","ENSMUSG00000055045","-2.37138206935202"
"166","ENSMUSG00000055095","-7.84391514197479"
"167","ENSMUSG00000055408","-2.069163602088"
"168","ENSMUSG00000056148","-2.29357856208616"
"169","ENSMUSG00000056586","-2.04575769981037"
"170","ENSMUSG00000056656","-3.87612016628492"
"171","ENSMUSG00000057262","-23.4143403029727"
"172","ENSMUSG00000057685","-2.02207204976174"
"173","ENSMUSG00000057967","-2.1519222670052"
"174","ENSMUSG00000058073","-2.02210599278909"
"175","ENSMUSG00000058613","-2.02207204976174"
"176","ENSMUSG00000058625","-2.30319593643144"
"177","ENSMUSG00000058831","-2.59037991341695"
"178","ENSMUSG00000058905","-3.04855644995115"
"179","ENSMUSG00000059031","-2.61336265370414"
"180","ENSMUSG00000059106","-5.07323338259021"
"181","ENSMUSG00000059252","-2.60778839544599"
"182","ENSMUSG00000059565","-5.55433531319746"
"183","ENSMUSG00000059742","-2.31621191369261"
"184","ENSMUSG00000059835","-2.29085027519191"
"185","ENSMUSG00000059956","-2.35058168423258"
"186","ENSMUSG00000060177","-6.45291225939823"
"187","ENSMUSG00000060284","-3.82882210538166"
"188","ENSMUSG00000060534","-2.32531280983745"
"189","ENSMUSG00000060560","-2.8463043122596"
"190","ENSMUSG00000060613","-3.58199011664292"
"191","ENSMUSG00000060715","-2.05844675877549"
"192","ENSMUSG00000061272","-3.88291187977314"
"193","ENSMUSG00000061602","-2.069163602088"
"194","ENSMUSG00000061833","-3.38286988033318"
"195","ENSMUSG00000061928","-2.02445801212976"
"196","ENSMUSG00000062083","-2.63619567987509"
"197","ENSMUSG00000063188","-3.33355056206642"
"198","ENSMUSG00000063239","-3.65452579985793"
"199","ENSMUSG00000063780","-2.04576454147028"
"200","ENSMUSG00000063875","-4.16473478399607"
"201","ENSMUSG00000064288","-3.04359956856613"
"202","ENSMUSG00000064340","-2.14289119331688"
"203","ENSMUSG00000064394","-2.57367022980783"
"204","ENSMUSG00000064702","-2.54620278173283"
"205","ENSMUSG00000064833","-2.96004166605867"
"206","ENSMUSG00000064856","-2.36253706157208"
"207","ENSMUSG00000064858","-2.50339925341826"
"208","ENSMUSG00000064941","-4.88431877631628"
"209","ENSMUSG00000064995","-2.04576754289311"
"210","ENSMUSG00000065044","-2.30122355648398"
"211","ENSMUSG00000065105","-2.99678350315032"
"212","ENSMUSG00000065304","-2.13690282723232"
"213","ENSMUSG00000065361","-2.02440678104389"
"214","ENSMUSG00000065516","-2.069163602088"
"215","ENSMUSG00000065529","-3.83108503633622"
"216","ENSMUSG00000065663","-3.72087766457808"
"217","ENSMUSG00000066180","-3.92657552469415"
"218","ENSMUSG00000066315","-7.31384577930839"
"219","ENSMUSG00000066475","-3.97792449923123"
"220","ENSMUSG00000066491","-2.02875140515463"
"221","ENSMUSG00000066538","-2.08231821886143"
"222","ENSMUSG00000066896","-2.64471994698503"
"223","ENSMUSG00000066902","-3.6085763692574"
"224","ENSMUSG00000067764","-2.9602580495413"
"225","ENSMUSG00000067941","-2.55609854902062"
"226","ENSMUSG00000068048","-4.18712790344121"
"227","ENSMUSG00000068200","-4.58628890346833"
"228","ENSMUSG00000068252","-2.64480462855171"
"229","ENSMUSG00000068262","-4.80404606592286"
"230","ENSMUSG00000068397","-11.3647829120381"
"231","ENSMUSG00000068417","-2.77063221374955"
"232","ENSMUSG00000068480","-2.02109165181536"
"233","ENSMUSG00000068629","-2.04576454147028"
"234","ENSMUSG00000068964","-4.02384276986203"
"235","ENSMUSG00000069053","-2.02207204976174"
"236","ENSMUSG00000069074","-2.05688801679969"
"237","ENSMUSG00000069125","-3.02161129216435"
"238","ENSMUSG00000069196","-2.02207901090552"
"239","ENSMUSG00000069268","-2.60778839544599"
"240","ENSMUSG00000069303","-5.95315551014904"
"241","ENSMUSG00000069308","-6.30968240181741"
"242","ENSMUSG00000069622","-2.03920732124502"
"243","ENSMUSG00000069962","-2.54260022330436"
"244","ENSMUSG00000070331","-2.39068996948774"
"245","ENSMUSG00000070342","-2.02207204976174"
"246","ENSMUSG00000070990","-2.04295816191686"
"247","ENSMUSG00000071052","-2.0798232951001"
"248","ENSMUSG00000071230","-2.97063677462966"
"249","ENSMUSG00000071470","-4.40640885437772"
"250","ENSMUSG00000071561","-2.02207204976174"
"251","ENSMUSG00000071568","-6.5800994998904"
"252","ENSMUSG00000071613","-4.83143406366107"
"253","ENSMUSG00000071750","-2.04699595685381"
"254","ENSMUSG00000072324","-7.76533231739445"
"255","ENSMUSG00000072423","-2.59039332659646"
"256","ENSMUSG00000072460","-10.2947895070187"
"257","ENSMUSG00000072476","-5.16824572723772"
"258","ENSMUSG00000072575","-2.99856484077341"
"259","ENSMUSG00000072591","-2.14794118946816"
"260","ENSMUSG00000072592","-2.53888331243227"
"261","ENSMUSG00000072693","-2.64072797653583"
"262","ENSMUSG00000073177","-4.9735964929985"
"263","ENSMUSG00000073208","-2.02207204976174"
"264","ENSMUSG00000073399","-3.96682742212064"
"265","ENSMUSG00000073403","-3.47990767777373"
"266","ENSMUSG00000073514","-2.13969430559563"
"267","ENSMUSG00000073640","-23.3413607511533"
"268","ENSMUSG00000073877","-4.02351427106378"
"269","ENSMUSG00000073879","-6.47980976998547"
"270","ENSMUSG00000073894","-2.36229429338574"
"271","ENSMUSG00000073966","-2.04575769981037"
"272","ENSMUSG00000074139","-2.59054262640745"
"273","ENSMUSG00000074149","-2.04576754289311"
"274","ENSMUSG00000074254","-2.20577352963975"
"275","ENSMUSG00000074479","-5.28637741466079"
"276","ENSMUSG00000074482","-2.04261121422025"
"277","ENSMUSG00000074485","-4.83139364739534"
"278","ENSMUSG00000074564","-3.02321800522594"
"279","ENSMUSG00000074647","-2.60725729162407"
"280","ENSMUSG00000074903","-2.10536069203489"
"281","ENSMUSG00000074999","-2.62433084050936"
"282","ENSMUSG00000075014","-5.84400190518607"
"283","ENSMUSG00000075015","-4.05141486246488"
"284","ENSMUSG00000075062","-2.04575769981037"
"285","ENSMUSG00000075161","-2.99581741056158"
"286","ENSMUSG00000075391","-4.57581929657318"
"287","ENSMUSG00000075581","-2.36228601387991"
"288","ENSMUSG00000076436","-2.09891884181185"
"289","ENSMUSG00000076474","-2.02208770922618"
"290","ENSMUSG00000076760","-3.07353377085645"
"291","ENSMUSG00000077274","-2.65697653390758"
"292","ENSMUSG00000077569","-2.10717917544894"
"293","ENSMUSG00000077709","-2.46178901034169"
"294","ENSMUSG00000078251","-2.36375239890958"
"295","ENSMUSG00000078519","-2.04740347352397"
"296","ENSMUSG00000078601","-2.04219814287163"
"297","ENSMUSG00000078722","-2.65698922837799"
"298","ENSMUSG00000078735","-5.02409082103903"
"299","ENSMUSG00000078776","-3.7790587448839"
"300","ENSMUSG00000078915","-2.85367328964649"
"301","ENSMUSG00000079137","-3.432924154661"
"302","ENSMUSG00000079402","-4.48625387352408"
"303","ENSMUSG00000080054","-2.069163602088"
"304","ENSMUSG00000080078","-3.07352364477925"
"305","ENSMUSG00000080152","-2.4016890635481"
"306","ENSMUSG00000080242","-5.19558305137206"
"307","ENSMUSG00000080683","-2.60778025676824"
"308","ENSMUSG00000080767","-2.04683317938259"
"309","ENSMUSG00000080866","-2.59039332659646"
"310","ENSMUSG00000080896","-5.7422985243529"
"311","ENSMUSG00000080932","-2.2985544329461"
"312","ENSMUSG00000080992","-2.59054262640745"
"313","ENSMUSG00000081022","-3.59060693222026"
"314","ENSMUSG00000081078","-4.13818981197458"
"315","ENSMUSG00000081099","-3.78689669092045"
"316","ENSMUSG00000081205","-3.66006023430463"
"317","ENSMUSG00000081210","-2.0985971788839"
"318","ENSMUSG00000081214","-22.7110005441722"
"319","ENSMUSG00000081251","-2.57368336994033"
"320","ENSMUSG00000081295","-3.37527726917175"
"321","ENSMUSG00000081359","-2.37125706864472"
"322","ENSMUSG00000081375","-4.94826100801064"
"323","ENSMUSG00000081440","-2.02207901090552"
"324","ENSMUSG00000081480","-2.5763793190512"
"325","ENSMUSG00000081486","-5.60195728172849"
"326","ENSMUSG00000081593","-3.39393541289865"
"327","ENSMUSG00000081611","-2.64466465704526"
"328","ENSMUSG00000081612","-2.069163602088"
"329","ENSMUSG00000081641","-2.60778025676824"
"330","ENSMUSG00000081661","-2.86701493470617"
"331","ENSMUSG00000081756","-4.911571011151"
"332","ENSMUSG00000081761","-2.6053569531959"
"333","ENSMUSG00000081788","-2.22988359669001"
"334","ENSMUSG00000081865","-3.06034561323374"
"335","ENSMUSG00000081929","-2.64034611338291"
"336","ENSMUSG00000081967","-2.60707785243524"
"337","ENSMUSG00000081968","-2.01115672199573"
"338","ENSMUSG00000082057","-2.6055768965223"
"339","ENSMUSG00000082112","-2.069163602088"
"340","ENSMUSG00000082145","-5.14659483854885"
"341","ENSMUSG00000082160","-4.37164355286516"
"342","ENSMUSG00000082192","-2.88557373999917"
"343","ENSMUSG00000082195","-3.04741310225609"
"344","ENSMUSG00000082204","-2.02207204976174"
"345","ENSMUSG00000082234","-2.60725729162407"
"346","ENSMUSG00000082247","-2.04577385118384"
"347","ENSMUSG00000082250","-3.30263364252102"
"348","ENSMUSG00000082274","-2.67564587362532"
"349","ENSMUSG00000082334","-4.61232920450681"
"350","ENSMUSG00000082336","-2.02207204976174"
"351","ENSMUSG00000082376","-2.91637725267172"
"352","ENSMUSG00000082465","-2.91637725267172"
"353","ENSMUSG00000082474","-4.06185114971926"
