"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSSSCG00000000002",183.128764758827,-2.04281439382996,0.450018899980701,4.55135071250184e-07,5.10003214269882e-05
"ENSSSCG00000000028",54.8347402536332,-2.04547738714385,0.767647790299132,0.00047205573175464,0.0104497477348349
"ENSSSCG00000000179",160.63431556736,-1.1734160912284,0.418238969554719,0.000530576055756985,0.0113381664523307
"ENSSSCG00000000214",773.876001832333,-1.281724041992,0.415162811830211,0.00020192583222951,0.00567699198058899
"ENSSSCG00000000257",40.3636987335211,-2.06777205767228,0.6391606213789,8.17786920619234e-05,0.00295729854175837
"ENSSSCG00000000265",121.710980703408,-1.07694837310804,0.487398575163512,0.00279495004170752,0.0354257580871677
"ENSSSCG00000000659",10.7691554991226,-2.76503180273827,1.54608949711696,0.0028176160650355,0.0355480810372032
"ENSSSCG00000000683",189.490879463889,-1.107191765133,0.467282474915817,0.00186121643512009,0.0268199165240232
"ENSSSCG00000000693",623.025154448891,-1.15771059185127,0.390836538998833,0.000342713941343659,0.0081996041344962
"ENSSSCG00000000700",100.699422012146,-1.41122071108135,0.414924764937046,6.10958702107577e-05,0.00235785263670804
"ENSSSCG00000000723",419.718646324069,-1.0357189077858,0.342323763263682,0.000327398873388611,0.00798440315552226
"ENSSSCG00000000728",125.963126455108,-1.01503450026068,0.355172994717119,0.000560879300398011,0.0117567498487189
"ENSSSCG00000000811",196.684647924147,-1.3306366727465,0.33050812396771,5.96754230411231e-06,0.000379459594364511
"ENSSSCG00000001001",131.022794475173,-1.05515806445415,0.459650202062002,0.00237539129348935,0.0318484246869563
"ENSSSCG00000001204",55.4767492566081,-1.3962152210084,0.526780957219524,0.000659647473308086,0.0130523178406552
"ENSSSCG00000001207",181.430764397622,-1.06368684374625,0.355453698455947,0.000347793314450405,0.00828973020820217
"ENSSSCG00000001247",22.8101518664174,-1.84937871284643,0.739893869570615,0.00074149624335377,0.0142068880842372
"ENSSSCG00000001248",9.05116717883239,-3.26611164123053,1.43841552623032,0.00104866796360335,0.0180483281038328
"ENSSSCG00000001384",577.548455781013,-1.06449390682519,0.316471972474692,0.000101841557241822,0.00348968475257736
